lake_id,stage,volume,sarea
reservoir_cheze,83.26,8020296.87490001,966531.12
reservoir_cheze,83.35,8107719.8308,976219.86
reservoir_cheze,83.46,8215764.11325,988278.05
reservoir_cheze,83.55,8305153.7521,998197.42
reservoir_cheze,83.66,8415640.699,1010727.4
reservoir_cheze,83.75,8507080.16220001,1021327.18
reservoir_cheze,83.86,8620146.79670001,1034525.08
reservoir_cheze,83.95,8713753.49310001,1045772.4
reservoir_cheze,84.06,8829583.64775001,1060225.33
reservoir_cheze,84.15,8925532.04780001,1071934.06
reservoir_cheze,84.26,9044254.06325002,1086705.55
reservoir_cheze,84.35,9142597.61120001,1098732.46
reservoir_cheze,84.46,9264273.2132,1113623.1
reservoir_cheze,84.55,9365061.00650001,1126154.36
reservoir_cheze,84.66,9489792.89710001,1141717.7
reservoir_cheze,84.75,9593136.91430001,1154849.3
reservoir_cheze,84.86,9721038.20250001,1170308.56
reservoir_cheze,84.95,9826878.35320002,1181423.88
reservoir_cheze,85.06,9957524.05793466,1194089.22088155
reservoir_cheze,85.15,10065507.1733728,1205756.11010661
reservoir_cheze,85.26,10199002.9308681,1221735.09459972
reservoir_cheze,85.35,10309596.0106431,1236062.50877114
reservoir_cheze,85.46,10446586.8937336,1254906.03137535
reservoir_cheze,85.55,10560258.6804455,1271260.34660039
reservoir_cheze,85.66,10701240.1538332,1292193.97811347
reservoir_cheze,85.75,10818332.6653034,1309941.57049939
reservoir_cheze,85.86,10963645.3078499,1332190.88171911
reservoir_cheze,85.95,11084373.8371213,1350698.12737319
reservoir_cheze,86.06,11234203.3418477,1373488.68909732
reservoir_cheze,86.15,11358656.4571847,1392121.96412682
reservoir_cheze,86.26,11513033.6312716,1414679.34715312
reservoir_cheze,86.35,11641173.17616,1432805.02766531
reservoir_cheze,86.46,11799973.9409476,1454354.80279155
reservoir_cheze,86.55,11931635.0340946,1471339.26489369
reservoir_cheze,86.66,12094580.4250828,1491107.00291766
reservoir_cheze,86.75,12229471.4604172,1506316.62271702
reservoir_cheze,86.86,12396127.6272651,1523527.89443647
reservoir_cheze,86.95,12533830.2739371,1536329.04804031
reservoir_cheze,87.06,12703608.4804637,1550209.42425302
reservoir_cheze,87.15,12843577.6828448,1559968.48776861
reservoir_cheze,87.26,13015734.3070286,1569743.53927234
reservoir_cheze,87.35,13157298.2847119,1575826.88880695
reservoir_cheze,87.46,13330934.8186908,1580722.18639948
reservoir_cheze,87.55,13473295.0664909,1582496.19806037
reservoir_cheze,87.58,13520772.2995993,1582617.0
