=== TOP 120 CUMULATIVE ===
         67825484 function calls (64722086 primitive calls) in 120.316 seconds

   Ordered by: cumulative time
   List reduced from 6205 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4320    0.050    0.000    3.448    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4757(drop)
     4320    0.086    0.000    3.385    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4796(_drop_axis)
    14760    0.101    0.000    3.296    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:869(take)
     5832    0.045    0.000    3.075    0.001 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:670(_build_repeating_header)
    19080    0.150    0.000    3.072    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:623(reindex_indexer)
    29012    0.556    0.000    3.031    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:475(__new__)
2710680/771072    2.251    0.000    2.968    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:240(next_item)



=== TOP 120 INTERNAL TIME ===
         67825484 function calls (64722086 primitive calls) in 120.316 seconds

   Ordered by: internal time
   List reduced from 6205 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2232   19.438    0.009   19.438    0.009 {method 'readline' of '_io.BufferedReader' objects}
16019979/15936049    4.185    0.000    5.671    0.000 {built-in method builtins.isinstance}
       20    4.109    0.205    4.113    0.206 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\raw.py:595(write)
   919140    3.990    0.000    3.990    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1440    2.799    0.002   11.882    0.008 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow_common\solver_mesh.py:112(cell_centroids)
   732175    2.761    0.000    8.518    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:119(_mean)
2710680/771072    2.251    0.000    2.968    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:240(next_item)
   732180    2.089    0.000    2.291    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:77(_count_reduce_items)
    71137    2.007    0.000    2.126    0.000 {built-in method numpy.fromfile}
      267    1.583    0.006    1.583    0.006 {method 'close' of '_io.TextIOWrapper' objects}
     3072    1.322    0.000    6.793    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
   797912    1.312    0.000    1.312    0.000 {method 'format' of 'str' objects}
      610    1.303    0.002    1.303    0.002 {method '__exit__' of '_io._IOBase' objects}
      612    1.244    0.002    1.255    0.002 {built-in method _io.open}
3951529/3431198    1.171    0.000    1.427    0.000 {built-in method builtins.len}
470760/466896    1.148    0.000    5.199    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:690(_access_data)
       28    1.122    0.040    1.341    0.048 {built-in method _pickle.dump}
   852336    1.020    0.000    2.523    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatautil.py:351(to_string)
  1514016    1.019    0.000    1.517    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:514(__getitem__)
   361728    1.013    0.000    5.214    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:291(get_transient_key)
318848/39856    0.886    0.000    1.011    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_internal.py:90(_array_descr)
45568/44128    0.809    0.000    6.086    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:389(__init__)
    75622    0.699    0.000    2.854    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\construction.py:517(sanitize_array)
   732000    0.694    0.000    9.207    0.000 {method 'mean' of 'numpy.ndarray' objects}
       94    0.671    0.007    7.508    0.080 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1134(_build_index)
   393048    0.654    0.000    0.729    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\records.py:254(__getitem__)
1635861/1634509    0.643    0.000    0.708    0.000 {built-in method builtins.getattr}
    11810    0.638    0.000    1.174    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:1066(iset)
    40688    0.591    0.000    1.265    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
    65033    0.588    0.000    0.776    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:6236(__finalize__)
    69269    0.578    0.000    0.578    0.000 {built-in method numpy.array}
    29012    0.556    0.000    3.031    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:475(__new__)
   166392    0.555    0.000    1.295    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:6301(__setattr__)
   965674    0.528    0.000    1.275    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
    19084    0.510    0.000    2.819    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:708(_slice_take_blocks_ax0)
      433    0.502    0.001    0.502    0.001 {built-in method _io.open_code}
1124382/1113948    0.491    0.000    2.166    0.000 {built-in method builtins.hasattr}
   965674    0.486    0.000    0.719    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\dtypes\generic.py:37(_check)
    19928    0.477    0.000    4.505    0.000 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1313(_get_header)
   120966    0.473    0.000    0.473    0.000 {built-in method numpy.empty}
293505/266881    0.464    0.000    1.719    0.000 {built-in method numpy.asarray}
  1924438    0.453    0.000    0.455    0.000 {built-in method builtins.issubclass}
   481464    0.449    0.000    0.715    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:226(first_item)
    15144    0.442    0.000    1.708    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatalist.py:937(_get_file_entry_record)
50000/25000    0.429    0.000    0.597    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\numeric.py:1185(roll)
   483000    0.426    0.000    0.557    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:623(first_index)
  1379978    0.420    0.000    0.420    0.000 {method 'append' of 'list' objects}
109232/109128    0.416    0.000    1.352    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:6284(__getattr__)
