=== TOP 120 CUMULATIVE ===
         75213680 function calls (71746190 primitive calls) in 105.090 seconds

   Ordered by: cumulative time
   List reduced from 3007 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      106    0.004    0.000    6.038    0.057 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1059(_set_precision)
      106    0.519    0.005    6.034    0.057 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1134(_build_index)
     1620    0.072    0.000    5.979    0.004 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:299(_add_cellid_fields)
     3942    0.018    0.000    5.842    0.001 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2893(build_mfdata)
     3942    0.017    0.000    5.784    0.001 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:620(add_dataset)
    16200    0.205    0.000    5.751    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1032(_getitem_lowerdim)
51223/49603    0.758    0.000    5.657    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:389(__init__)
    12960    0.101    0.000    5.564    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1365(_getitem_tuple)
27247/26647    0.079    0.000    5.231    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\ops\common.py:62(new_method)
17967236/17872860    3.760    0.000    5.151    0.000 {built-in method builtins.isinstance}
    26280    0.132    0.000    5.030    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1397(_getitem_axis)
518373/514026    0.262    0.000    4.777    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:683(get_data)
529605/525258    1.003    0.000    4.648    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:690(_access_data)
    12960    0.207    0.000    4.580    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2111(_setitem_single_column)
