comparison_id,observable,variable,support,unit,variant_id,variant_label,comparison_time_key,time,time_index,elapsed_seconds,value_index,value
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:3,3,3,,0,116.93858337402344
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:4,4,4,,0,116.12748718261719
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:5,5,5,,0,115.0318374633789
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:6,6,6,,0,113.7960205078125
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:7,7,7,,0,113.15201568603516
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:8,8,8,,0,113.15589904785156
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:9,9,9,,0,113.84722900390625
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:10,10,10,,0,113.88154602050781
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:11,11,11,,0,117.38877868652344
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:0,0,0,,0,109.48026275634766
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:1,1,1,,0,110.2066650390625
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:2,2,2,,0,111.19087982177734
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:3,3,3,,0,110.68174743652344
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:4,4,4,,0,109.86071014404297
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:5,5,5,,0,108.76371765136719
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:6,6,6,,0,107.55073547363281
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:7,7,7,,0,106.97003936767578
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:8,8,8,,0,106.97394561767578
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:9,9,9,,0,107.7573013305664
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:10,10,10,,0,107.79143524169922
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:11,11,11,,0,109.6661605834961
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:0,0,0,,0,0.0001339606136483511
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:1,1,1,,0,0.0002366053979332921
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:2,2,2,,0,0.00022099297060731825
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:3,3,3,,0,0.00015502531423857208
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:4,4,4,,0,0.00012442629200831793
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:5,5,5,,0,7.958881357168409e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:6,6,6,,0,4.509926978884054e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:7,7,7,,0,3.411645486918178e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:8,8,8,,0,3.416674454220575e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:9,9,9,,0,4.58507371250663e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:10,10,10,,0,4.6480960323314334e-05
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:11,11,11,,0,0.00016001404738172253
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,137.73870038042435
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,147.04473595990157
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:2,2,2,,0,148.84417821253768
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:3,3,3,,0,139.1756263014291
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:4,4,4,,0,136.3024803374652
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:5,5,5,,0,128.99439382884145
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:6,6,6,,0,123.3863105180288
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:7,7,7,,0,122.17645635881178
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:8,8,8,,0,122.31505092716203
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:9,9,9,,0,125.84460044176588
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:10,10,10,,0,138.94421449863253
ex12_multi_method_moderate,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,153.7818244704141
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,126.52974359147287
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,134.59448471293436
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:2,2,2,,0,133.67357705009024
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:3,3,3,,0,129.39851998030517
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:4,4,4,,0,125.91222575047075
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:5,5,5,,0,121.31412058420688
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:6,6,6,,0,117.97972868683175
