site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,notes
s3_10km2_outlet_22,Strahler 3 10 km2 outlet 22,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,22,300600.0,6833550.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_22\mesh_catchment_outlet_22.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_22\mesh_catchment_outlet_22_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_22\mesh_catchment_outlet_22_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_22\mesh_catchment_outlet_22.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_22\mesh_catchment_outlet_22_regional.png,
s3_10km2_outlet_23,Strahler 3 10 km2 outlet 23,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,23,401400.0,6834075.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_23\mesh_catchment_outlet_23.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_23\mesh_catchment_outlet_23_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_23\mesh_catchment_outlet_23_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_23\mesh_catchment_outlet_23.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_23\mesh_catchment_outlet_23_regional.png,
s3_10km2_outlet_24,Strahler 3 10 km2 outlet 24,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,24,437550.0,6830550.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_24\mesh_catchment_outlet_24.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_24\mesh_catchment_outlet_24_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_24\mesh_catchment_outlet_24_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_24\mesh_catchment_outlet_24.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_24\mesh_catchment_outlet_24_regional.png,
s3_10km2_outlet_25,Strahler 3 10 km2 outlet 25,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,25,481875.0,6823275.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_25\mesh_catchment_outlet_25.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_25\mesh_catchment_outlet_25_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_25\mesh_catchment_outlet_25_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_25\mesh_catchment_outlet_25.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_25\mesh_catchment_outlet_25_regional.png,
s3_10km2_outlet_26,Strahler 3 10 km2 outlet 26,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,26,239325.0,6789750.0,10.00125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_26\mesh_catchment_outlet_26.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_26\mesh_catchment_outlet_26_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_26\mesh_catchment_outlet_26_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_26\mesh_catchment_outlet_26.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_26\mesh_catchment_outlet_26_regional.png,
s3_10km2_outlet_27,Strahler 3 10 km2 outlet 27,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,27,305700.0,6797025.0,10.00125,,,,,,,
s3_10km2_outlet_28,Strahler 3 10 km2 outlet 28,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,28,337875.0,6812325.0,10.00125,,,,,,,
s3_10km2_outlet_29,Strahler 3 10 km2 outlet 29,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,29,391275.0,6783600.0,10.00125,,,,,,,
s3_10km2_outlet_30,Strahler 3 10 km2 outlet 30,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,30,433275.0,6794025.0,10.00125,,,,,,,
s3_10km2_outlet_31,Strahler 3 10 km2 outlet 31,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,31,236625.0,6742725.0,10.00125,,,,,,,
