site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,bundle_cell_count,bundle_missing_top_centroid_count,bundle_missing_bottom_centroid_count,bundle_missing_hydraulic_conductivity_count,bundle_missing_storage_coefficient_count,bundle_invalid_vertical_geometry_count,bundle_storage_default_value,bundle_boussinesq_steady_ready,bundle_boussinesq_transient_ready,notes
headwater_100km2_outlet_37,Headwater 100 km2 outlet 37,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,37,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_38,Headwater 100 km2 outlet 38,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,38,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_41,Headwater 100 km2 outlet 41,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,41,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_39,Headwater 100 km2 outlet 39,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,39,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_40,Headwater 100 km2 outlet 40,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,40,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_43,Headwater 100 km2 outlet 43,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,43,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_42,Headwater 100 km2 outlet 42,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,42,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_44,Headwater 100 km2 outlet 44,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,44,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_45,Headwater 100 km2 outlet 45,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,45,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_46,Headwater 100 km2 outlet 46,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,46,,,,,,,,,,,,,,,,,,,
