component,unit,time_index,elapsed_seconds,time_label,value__boussinesq_petsc_mixed,value__boussinesq_petsc_partition,value__boussinesq_scipy_sparse
surface_excess_total_m3_s,m3/s,26,22464000.0,260.0 d,0.0,0.0009287451801020807,0.0009287452289081295
surface_excess_total_m3_s,m3/s,27,23328000.0,270.0 d,0.0,0.00025800839241584786,0.00025800850246359276
surface_excess_total_m3_s,m3/s,28,24192000.0,280.0 d,6.76659761422759e-14,0.07954997629981764,0.0795499788487831
surface_excess_total_m3_s,m3/s,29,25056000.0,290.0 d,0.01831910281738254,0.28180606117256113,0.28180630574055515
surface_excess_total_m3_s,m3/s,30,25920000.0,300.0 d,0.9609224430808673,0.6550402772285208,0.6550405381145142
surface_excess_total_m3_s,m3/s,31,26784000.0,310.0 d,0.0,0.004224783163361898,0.0042247947402490015
surface_excess_total_m3_s,m3/s,32,27648000.0,320.0 d,0.0,0.0011739453049517162,0.0011739471321061475
surface_excess_total_m3_s,m3/s,33,28512000.0,330.0 d,0.0,0.00032677907891185375,0.00032677910356676196
surface_excess_total_m3_s,m3/s,34,29376000.0,340.0 d,0.0,0.0003274076212775701,0.0003274075460032198
surface_excess_total_m3_s,m3/s,35,30240000.0,350.0 d,0.0,0.0003287134371606018,0.00032871334913285203
surface_excess_total_m3_s,m3/s,36,31104000.0,360.0 d,0.0,0.00033057740999896173,0.00033057732888620774
surface_excess_total_m3_s,m3/s,37,31968000.0,370.0 d,0.0,0.0003328626635000486,0.00033286259817708703
well_total_m3_s,m3/s,0,0.0,0.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,1,864000.0,10.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,2,1728000.0,20.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,3,2592000.0,30.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,4,3456000.0,40.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,5,4320000.0,50.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,6,5184000.0,60.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,7,6048000.0,70.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,8,6912000.0,80.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,9,7776000.0,90.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,10,8640000.0,100.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,11,9504000.0,110.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,12,10368000.0,120.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,13,11232000.0,130.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,14,12096000.0,140.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,15,12960000.0,150.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,16,13824000.0,160.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,17,14688000.0,170.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,18,15552000.0,180.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,19,16416000.0,190.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,20,17280000.0,200.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,21,18144000.0,210.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,22,19008000.0,220.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,23,19872000.0,230.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,24,20736000.0,240.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,25,21600000.0,250.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,26,22464000.0,260.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,27,23328000.0,270.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,28,24192000.0,280.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,29,25056000.0,290.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,30,25920000.0,300.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,31,26784000.0,310.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,32,27648000.0,320.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,33,28512000.0,330.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,34,29376000.0,340.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,35,30240000.0,350.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,36,31104000.0,360.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,37,31968000.0,370.0 d,0.0,0.0,0.0
