comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__boussinesq_petsc_mixed,value__boussinesq_petsc_partition,value__boussinesq_scipy_sparse,value__mf6_heterogeneous_10day
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:5184000,6,6,5184000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:6048000,7,7,6048000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:6912000,8,8,6912000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:7776000,9,9,7776000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:8640000,10,10,8640000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:9504000,11,11,9504000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:10368000,12,12,10368000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:11232000,13,13,11232000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:12096000,14,14,12096000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:12960000,15,15,12960000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:13824000,16,16,13824000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:14688000,17,17,14688000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:15552000,18,18,15552000.0,0,0.0,0.0,0.0,
