cell_id,geom_type,n0,n1,n2,n3,centroid_x,centroid_y,area_m2,z_top_centroid,z_top_mean,z_bottom_centroid,z_bottom_mean,geology_code,geology_key,hydraulic_conductivity_m_s,storage_coefficient
2754,triangle,128,1530,1518,,361433.1810551653,6953939.678057461,6764.66845703125,26.230489654540435,26.159251518005817,-23.76951034545956,-23.840748481994183,12,1841,7.95270728767e-06,
2755,triangle,1518,1530,249,,361454.792000454,6953880.507335064,4741.5263671875,26.197510640707097,26.24809171578268,-23.802489359292903,-23.75190828421732,12,1841,7.95270728767e-06,
2756,triangle,32,1534,1512,,359776.5943877551,6952926.594387755,2633.13134765625,33.29588315106977,33.49901829590231,-16.704116848930227,-16.500981704097686,12,1841,7.95270728767e-06,
2757,triangle,1512,1534,232,,359751.5943877551,6952951.594387755,2633.130859375,33.29005073365303,33.46568547119528,-16.70994926634696,-16.534314528804718,12,1841,7.95270728767e-06,
2758,triangle,31,1534,32,,359739.0943877551,6952889.094387755,1585.61865234375,32.82447361669215,32.815684581099255,-17.175526383307847,-17.18431541890075,12,1841,7.95270728767e-06,
2759,triangle,232,1534,31,,359714.0943877551,6952914.094387755,1585.61865234375,32.7911407919837,32.782351756392224,-17.2088592080163,-17.21764824360778,12,1841,7.95270728767e-06,
2760,triangle,115,1535,116,,362437.5,6954887.5,1406.25,23.900000095367428,23.90000009536743,-26.09999990463257,-26.09999990463257,12,1841,7.95270728767e-06,
2761,triangle,233,1535,115,,362462.5,6954862.5,1406.25,23.43333355585733,23.43333355585734,-26.56666644414267,-26.56666644414266,12,1841,7.95270728767e-06,
2762,triangle,116,1535,1526,,362412.5,6954862.5,1406.25,23.966667016347255,23.966667016347248,-26.033332983652745,-26.033332983652752,12,1841,7.95270728767e-06,
2763,triangle,1526,1535,233,,362437.5,6954837.5,1406.25,23.50000047683716,23.500000476837158,-26.49999952316284,-26.499999523162842,12,1841,7.95270728767e-06,
2764,triangle,127,246,128,,361496.74295430904,6954094.78666273,2156.2431640625,25.306318199267707,25.988237269365367,-24.693681800732296,-24.011762730634633,12,1841,7.371224442195001e-06,
2765,triangle,259,1529,129,,360835.31563315605,6953615.810712479,10220.31640625,30.583012755377606,31.145357509958803,-19.41698724462239,-18.85464249004119,12,1841,7.95270728767e-06,
