solver,solver_label,elapsed_days,recharge_mm_day,recharge_flux_m3_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
modflownwt,MODFLOW-NWT,630.0,0.0,0.0,0.0,3.183923492906615,3.183923492906615,-3.183923492906615,0.0,0.0,
modflownwt,MODFLOW-NWT,645.0,0.0,0.0,0.0,2.95018210017588,2.95018210017588,-2.95018210017588,0.0,0.0,
modflownwt,MODFLOW-NWT,660.0,0.0,0.0,0.0,2.7338937943568453,2.7338937943568453,-2.7338937943568453,0.0,0.0,
modflownwt,MODFLOW-NWT,675.0,0.0,0.0,0.0,2.5339303188957274,2.5339303188957274,-2.5339303188957274,0.0,0.0,
modflownwt,MODFLOW-NWT,690.0,0.0,0.0,0.0,2.3491443222155795,2.3491443222155795,-2.3491443222155795,0.0,0.0,
modflownwt,MODFLOW-NWT,705.0,0.0,0.0,0.0,2.1779613685794175,2.1779613685794175,-2.1779613685794175,0.0,0.0,
modflownwt,MODFLOW-NWT,720.0,0.0,0.0,0.0,2.0195480348775163,2.0195480348775163,-2.0195480348775163,0.0,0.0,
modflow6,MODFLOW 6,15.0,0.6,7.199999999999999,0.0,1.1959941905055802,1.1959941905055802,6.004005809494419,0.0,0.0,
modflow6,MODFLOW 6,30.0,0.6,7.199999999999999,0.0,1.829733158041453,1.829733158041453,5.370266841958546,0.0,0.0,
modflow6,MODFLOW 6,45.0,1.8,21.599999999999998,0.0,4.710259333425419,4.710259333425419,16.88974066657458,0.0,0.0,
modflow6,MODFLOW 6,60.0,1.8,21.599999999999998,0.0,6.387403640462277,6.387403640462277,15.21259635953772,0.0,0.0,
modflow6,MODFLOW 6,75.0,3.0,36.0,0.6889984990038838,9.56830187441554,10.257300373419424,25.742699626580574,0.0,1.377996982773766,
modflow6,MODFLOW 6,90.0,3.0,36.0,1.7097791168260352,11.147666995410644,12.85744611223668,23.14255388776332,0.0,4.077828211165979,
modflow6,MODFLOW 6,105.0,4.2,50.400000000000006,6.772028702115178,12.579219326205509,19.351248028320686,31.04875197167932,0.0,28.70585001001018,
modflow6,MODFLOW 6,120.0,4.2,50.400000000000006,12.616992570493556,12.715584144050977,25.332576714544533,25.067423285455472,0.004839888074823939,80.59670263191947,
modflow6,MODFLOW 6,135.0,5.4,64.8,26.021703090789813,13.291358105429712,39.31306119621952,25.486938803780475,0.03612378347782297,252.7497000227413,
modflow6,MODFLOW 6,150.0,5.4,64.8,35.5141852034104,13.292263387899016,48.80644859130942,15.993551408690578,0.05584608850965278,446.647129982739,
modflow6,MODFLOW 6,165.0,7.2,86.39999999999999,60.43583800764647,14.135543553073516,74.57138156071998,11.828618439280007,0.0950098968625035,964.1512672449608,
modflow6,MODFLOW 6,180.0,7.2,86.39999999999999,67.5738232051379,14.135545836421871,81.70936904155977,4.690630958440224,0.10731760277290192,1187.7830404917404,
modflow6,MODFLOW 6,195.0,6.0,72.0,56.60610420922706,13.573392748953511,70.17949695818058,1.8205030418194212,0.09442484376878468,986.9861183467947,
modflow6,MODFLOW 6,210.0,6.0,72.0,56.61804462414724,13.573386849781876,70.19143147392911,1.8085685260708857,0.09443761849253463,987.3860940985651,
modflow6,MODFLOW 6,225.0,4.8,57.599999999999994,43.93113494447409,13.011227704303044,56.942362648777134,0.6576373512228599,0.07774557411983274,731.0073970202211,
modflow6,MODFLOW 6,240.0,4.8,57.599999999999994,43.45952305008063,13.011227616674145,56.47075066675477,1.1292493332452267,0.07676420220815316,716.1799466925004,
modflow6,MODFLOW 6,255.0,3.6,43.199999999999996,31.0965237828462,12.449067535068219,43.54559131791442,-0.3455913179144261,0.05838161887665372,474.4061967045127,
modflow6,MODFLOW 6,270.0,3.6,43.199999999999996,30.390796361879527,12.44906757176223,42.83986393364176,0.3601360663582369,0.0564526912535257,453.7170226845774,
modflow6,MODFLOW 6,285.0,2.4,28.799999999999997,18.870286793100625,11.886904632403878,30.7571914255045,-1.9571914255045044,0.03517664333540438,244.51679574503942,
modflow6,MODFLOW 6,300.0,2.4,28.799999999999997,17.993569711379727,11.88690062948168,29.880470340861407,-1.0804703408614102,0.031094269123205898,222.50201915303478,
modflow6,MODFLOW 6,315.0,1.2,14.399999999999999,8.18578978196002,11.324669772312035,19.510459554272053,-5.110459554272055,0.003378227051167748,70.7800188202782,
modflow6,MODFLOW 6,330.0,1.2,14.399999999999999,7.306315740656834,11.324473007340375,18.630788747997208,-4.2307887479972095,0.0,55.35843077095706,
modflow6,MODFLOW 6,345.0,0.6,7.199999999999999,3.6793935236185065,11.039606072588782,14.718999596207288,-7.518999596207289,0.0,16.123038136174728,
modflow6,MODFLOW 6,360.0,0.6,7.199999999999999,3.0836375163423364,11.024894310496983,14.108531826839318,-6.908531826839319,0.0,11.178930848018354,
modflow6,MODFLOW 6,375.0,0.0,0.0,1.436038515772402,10.477858565693035,11.913897081465437,-11.913897081465437,0.0,3.4695180840571993,
modflow6,MODFLOW 6,390.0,0.0,0.0,1.0002928915541665,10.037283740774418,11.037576632328584,-11.037576632328584,0.0,2.1946347420453094,
modflow6,MODFLOW 6,405.0,0.0,0.0,0.6781733736994765,9.52500137319788,10.203174746897355,-10.203174746897355,0.0,1.3563467626227066,
modflow6,MODFLOW 6,420.0,0.0,0.0,0.5280655455789138,8.924570060715617,9.45263560629453,-9.45263560629453,0.0,1.056131075893063,
modflow6,MODFLOW 6,435.0,0.0,0.0,0.3835002059540526,8.34630870221615,8.729808908170202,-8.729808908170202,0.0,0.7670004037208855,
modflow6,MODFLOW 6,450.0,0.0,0.0,0.2490425112928997,7.808477923571589,8.057520434864488,-8.057520434864488,0.0,0.4980850157153327,
modflow6,MODFLOW 6,465.0,0.0,0.0,0.12493506321835518,7.312048131273403,7.4369831944917575,-7.4369831944917575,0.0,0.24987013566715177,
modflow6,MODFLOW 6,480.0,0.0,0.0,0.010638659285728408,6.854862515542889,6.865501174828617,-6.865501174828617,0.0,0.02127731897871854,
modflow6,MODFLOW 6,495.0,0.0,0.0,0.0,6.358428474354661,6.358428474354661,-6.358428474354661,0.0,0.0,
modflow6,MODFLOW 6,510.0,0.0,0.0,0.0,5.881747585836116,5.881747585836116,-5.881747585836116,0.0,0.0,
modflow6,MODFLOW 6,525.0,0.0,0.0,0.0,5.44031068164103,5.44031068164103,-5.44031068164103,0.0,0.0,
modflow6,MODFLOW 6,540.0,0.0,0.0,0.0,5.033064710334176,5.033064710334176,-5.033064710334176,0.0,0.0,
modflow6,MODFLOW 6,555.0,0.0,0.0,0.0,4.6575345929818095,4.6575345929818095,-4.6575345929818095,0.0,0.0,
modflow6,MODFLOW 6,570.0,0.0,0.0,0.0,4.311209334755286,4.311209334755286,-4.311209334755286,0.0,0.0,
modflow6,MODFLOW 6,585.0,0.0,0.0,0.0,3.9917113403573903,3.9917113403573903,-3.9917113403573903,0.0,0.0,
modflow6,MODFLOW 6,600.0,0.0,0.0,0.0,3.6968397443948096,3.6968397443948096,-3.6968397443948096,0.0,0.0,
modflow6,MODFLOW 6,615.0,0.0,0.0,0.0,3.424582423509633,3.424582423509633,-3.424582423509633,0.0,0.0,
modflow6,MODFLOW 6,630.0,0.0,0.0,0.0,3.174275667180986,3.174275667180986,-3.174275667180986,0.0,0.0,
modflow6,MODFLOW 6,645.0,0.0,0.0,0.0,2.942414876529349,2.942414876529349,-2.942414876529349,0.0,0.0,
modflow6,MODFLOW 6,660.0,0.0,0.0,0.0,2.7278590172359953,2.7278590172359953,-2.7278590172359953,0.0,0.0,
modflow6,MODFLOW 6,675.0,0.0,0.0,0.0,2.5293252195250546,2.5293252195250546,-2.5293252195250546,0.0,0.0,
modflow6,MODFLOW 6,690.0,0.0,0.0,0.0,2.3455939090657583,2.3455939090657583,-2.3455939090657583,0.0,0.0,
modflow6,MODFLOW 6,705.0,0.0,0.0,0.0,2.1755310611028813,2.1755310611028813,-2.1755310611028813,0.0,0.0,
modflow6,MODFLOW 6,720.0,0.0,0.0,0.0,2.0181990339158378,2.0181990339158378,-2.0181990339158378,0.0,0.0,
boussinesq,Boussinesq,15.0,0.6,7.199999999999999,0.020059114412949275,5.580498678388286,13.378302225368873,-6.178302225368874,-0.0179765476754854,,7.777744432567637
boussinesq,Boussinesq,30.0,0.6,7.199999999999999,0.0007451379681162963,5.7877980350633464,14.141032894172767,-6.941032894172768,-0.018110701612500613,,8.352489721141305
boussinesq,Boussinesq,45.0,1.8,21.599999999999998,2.7679721925721877e-05,5.795498605336968,18.90658066576519,2.6934193342348074,-0.015561532722316862,,13.111054380706294
boussinesq,Boussinesq,60.0,1.8,21.599999999999998,1.028226133996668e-06,5.795784659218614,20.22430962989695,1.3756903701030474,-0.01347408971909303,,14.428523942452204
boussinesq,Boussinesq,75.0,3.0,36.0,3.8195617548808516e-08,5.7957952853416055,26.769767533544087,9.230232466455913,-0.010251507945796767,,20.973972210006863
boussinesq,Boussinesq,90.0,3.0,36.0,1.418850956724782e-09,5.795795680071301,29.200937366230587,6.799062633769413,-0.007772521535447829,,23.405141684740435
boussinesq,Boussinesq,105.0,4.2,50.400000000000006,5.270408109936398e-11,5.795795694734328,38.601556289069784,11.798443710930222,-0.005085488299983787,,32.80576059428275
boussinesq,Boussinesq,120.0,4.2,50.400000000000006,1.956834694283316e-12,5.795795695279005,42.62185480944112,7.778145190558888,-0.003261464669802372,,36.82605911416016
boussinesq,Boussinesq,135.0,5.4,64.8,6.415348252630793e-12,5.795795695299114,56.00811192547326,8.791888074526739,-0.001828108549490004,,50.21231623016773
boussinesq,Boussinesq,150.0,5.4,64.8,2.3788970793248157e-13,5.795795695357519,61.37421137735264,3.42578862264736,-0.0010168892312654165,,55.578415681994876
boussinesq,Boussinesq,165.0,7.2,86.39999999999999,0.0,5.795795695342383,83.94281807545086,2.4571819245491326,-0.0004881873035982309,,78.14702238010848
boussinesq,Boussinesq,180.0,7.2,86.39999999999999,1.4580336937797255e-12,5.795795695287485,89.3604821858034,-2.9604821858034143,-0.00023450929414536859,,83.56468649051446
boussinesq,Boussinesq,195.0,6.0,72.0,5.371703082346357e-14,5.795795695300172,79.35488961162979,-7.354889611629787,-0.00012343890691823844,,73.55909391632956
boussinesq,Boussinesq,210.0,6.0,72.0,0.0,5.795795695300256,80.80225776005433,-8.802257760054331,-6.4962180850614e-05,,75.00646206475407
boussinesq,Boussinesq,225.0,4.8,57.599999999999994,7.673861546209083e-15,5.795795695299927,68.04836260619223,-10.448362606192234,-3.776985396353183e-05,,62.25256691089229
boussinesq,Boussinesq,240.0,4.8,57.599999999999994,6.906475391588174e-14,5.795795695300009,68.3422640701578,-10.742264070157802,-2.1956849294291203e-05,,62.54646837485772
boussinesq,Boussinesq,255.0,3.6,43.199999999999996,0.0,5.79579569530009,54.99795702729776,-11.797957027297763,-1.4258913915377036e-05,,49.202161331997665
boussinesq,Boussinesq,270.0,3.6,43.199999999999996,3.836930773104541e-14,5.795795695299597,54.81152589566909,-11.611525895669097,-9.25746767599378e-06,,49.01573020036946
