X	Y	Z	facies
213768	6.75901e+06	-400.0	4444.0
213775	6.75903e+06	-400.0	4444.0
213783	6.75906e+06	-400.0	4444.0
213791	6.75908e+06	-400.0	4444.0
213799	6.7591e+06	-400.0	4444.0
213806	6.75913e+06	-400.0	4444.0
213814	6.75915e+06	-400.0	4444.0
213822	6.75918e+06	-400.0	4444.0
213830	6.7592e+06	-400.0	4444.0
213837	6.75922e+06	-400.0	4444.0
213845	6.75925e+06	-400.0	4444.0
213853	6.75927e+06	-400.0	4444.0
213860	6.75929e+06	-400.0	4444.0
213868	6.75932e+06	-400.0	4444.0
213876	6.75934e+06	-400.0	4444.0
213884	6.75937e+06	-400.0	4444.0
213891	6.75939e+06	-400.0	4444.0
213899	6.75941e+06	-400.0	4444.0
213907	6.75944e+06	-400.0	4444.0
213914	6.75946e+06	-400.0	4444.0
213922	6.75948e+06	-400.0	4444.0
213930	6.75951e+06	-400.0	4444.0
213938	6.75953e+06	-400.0	4444.0
213945	6.75956e+06	-400.0	4444.0
213953	6.75958e+06	-400.0	4444.0
213961	6.7596e+06	-400.0	4444.0
213968	6.75963e+06	-400.0	4444.0
213976	6.75965e+06	-400.0	4444.0
213984	6.75967e+06	-400.0	4444.0
213992	6.7597e+06	-400.0	4444.0
213999	6.75972e+06	-400.0	4444.0
214007	6.75975e+06	-400.0	4444.0
214015	6.75977e+06	-400.0	4444.0
214022	6.75979e+06	-400.0	4444.0
214030	6.75982e+06	-400.0	4444.0
214038	6.75984e+06	-400.0	4444.0
214046	6.75987e+06	-400.0	4444.0
214053	6.75989e+06	-400.0	4444.0
214061	6.75991e+06	-400.0	4444.0
214069	6.75994e+06	-400.0	4444.0
214076	6.75996e+06	-400.0	4444.0
214084	6.75998e+06	-400.0	4444.0
214092	6.76001e+06	-400.0	4444.0
214100	6.76003e+06	-400.0	4444.0
214107	6.76006e+06	-400.0	4444.0
214115	6.76008e+06	-400.0	4444.0
214123	6.7601e+06	-400.0	4444.0
214130	6.76013e+06	-400.0	7777.0
214138	6.76015e+06	-400.0	7777.0
214146	6.76017e+06	-400.0	7777.0
214154	6.7602e+06	-400.0	7777.0
214161	6.76022e+06	-400.0	7777.0
214169	6.76025e+06	-400.0	7777.0
214177	6.76027e+06	-400.0	7777.0
214185	6.76029e+06	-400.0	7777.0
214192	6.76032e+06	-400.0	5555.0
214200	6.76034e+06	-400.0	5555.0
214208	6.76036e+06	-400.0	6666.0
214215	6.76039e+06	-400.0	6666.0
214223	6.76041e+06	-400.0	6666.0
214231	6.76044e+06	-400.0	6666.0
214239	6.76046e+06	-400.0	6666.0
214246	6.76048e+06	-400.0	6666.0
214254	6.76051e+06	-400.0	6666.0
214262	6.76053e+06	-400.0	6666.0
214269	6.76055e+06	-400.0	6666.0
214277	6.76058e+06	-400.0	6666.0
214285	6.7606e+06	-400.0	6666.0
214293	6.76063e+06	-400.0	6666.0
214300	6.76065e+06	-400.0	6666.0
214308	6.76067e+06	-400.0	6666.0
214316	6.7607e+06	-400.0	6666.0
214323	6.76072e+06	-400.0	6666.0
214331	6.76074e+06	-400.0	6666.0
214339	6.76077e+06	-400.0	6666.0
214347	6.76079e+06	-400.0	6666.0
214354	6.76082e+06	-400.0	6666.0
214362	6.76084e+06	-400.0	6666.0
214370	6.76086e+06	-400.0	6666.0
214377	6.76089e+06	-400.0	6666.0
214385	6.76091e+06	-400.0	6666.0
214393	6.76093e+06	-400.0	6666.0
214401	6.76096e+06	-400.0	6666.0
214408	6.76098e+06	-400.0	6666.0
214416	6.76101e+06	-400.0	6666.0
214424	6.76103e+06	-400.0	6666.0
214431	6.76105e+06	-400.0	6666.0
214439	6.76108e+06	-400.0	6666.0
214447	6.7611e+06	-400.0	6666.0
214455	6.76112e+06	-400.0	6666.0
214462	6.76115e+06	-400.0	6666.0
214470	6.76117e+06	-400.0	6666.0
214478	6.7612e+06	-400.0	6666.0
214485	6.76122e+06	-400.0	6666.0
214493	6.76124e+06	-400.0	6666.0
214501	6.76127e+06	-400.0	6666.0
214509	6.76129e+06	-400.0	6666.0
214516	6.76131e+06	-400.0	6666.0
214524	6.76134e+06	-400.0	6666.0
214532	6.76136e+06	-400.0	6666.0
214540	6.76139e+06	-400.0	6666.0
214547	6.76141e+06	-400.0	6666.0
214555	6.76143e+06	-400.0	6666.0
214563	6.76146e+06	-400.0	6666.0
214570	6.76148e+06	-400.0	6666.0
214578	6.7615e+06	-400.0	6666.0
214586	6.76153e+06	-400.0	6666.0
214594	6.76155e+06	-400.0	6666.0
214601	6.76158e+06	-400.0	6666.0
214609	6.7616e+06	-400.0	6666.0
214617	6.76162e+06	-400.0	6666.0
214624	6.76165e+06	-400.0	6666.0
214632	6.76167e+06	-400.0	6666.0
214640	6.76169e+06	-400.0	6666.0
214648	6.76172e+06	-400.0	3333.0
214655	6.76174e+06	-400.0	3333.0
214663	6.76177e+06	-400.0	3333.0
214671	6.76179e+06	-400.0	3333.0
214678	6.76181e+06	-400.0	3333.0
214686	6.76184e+06	-400.0	3333.0
214694	6.76186e+06	-400.0	3333.0
214702	6.76188e+06	-400.0	3333.0
214709	6.76191e+06	-400.0	3333.0
214717	6.76193e+06	-400.0	3333.0
214725	6.76196e+06	-400.0	3333.0
214732	6.76198e+06	-400.0	3333.0
214740	6.762e+06	-400.0	3333.0
214748	6.76203e+06	-400.0	3333.0
214756	6.76205e+06	-400.0	3333.0
214763	6.76207e+06	-400.0	3333.0
214771	6.7621e+06	-400.0	3333.0
214779	6.76212e+06	-400.0	3333.0
214786	6.76215e+06	-400.0	3333.0
214794	6.76217e+06	-400.0	3333.0
214802	6.76219e+06	-400.0	3333.0
214810	6.76222e+06	-400.0	3333.0
214817	6.76224e+06	-400.0	3333.0
214825	6.76226e+06	-400.0	3333.0
214833	6.76229e+06	-400.0	3333.0
214840	6.76231e+06	-400.0	3333.0
214848	6.76234e+06	-400.0	3333.0
214856	6.76236e+06	-400.0	3333.0
214864	6.76238e+06	-400.0	3333.0
214871	6.76241e+06	-400.0	3333.0
214879	6.76243e+06	-400.0	3333.0
214887	6.76245e+06	-400.0	3333.0
214894	6.76248e+06	-400.0	3333.0
214902	6.7625e+06	-400.0	3333.0
214910	6.76253e+06	-400.0	3333.0
214918	6.76255e+06	-400.0	3333.0
214925	6.76257e+06	-400.0	3333.0
214933	6.7626e+06	-400.0	3333.0
213390	6.75777e+06	-400.0	4444.0
213398	6.75779e+06	-400.0	4444.0
213406	6.75781e+06	-400.0	4444.0
213413	6.75784e+06	-400.0	4444.0
213421	6.75786e+06	-400.0	4444.0
213429	6.75789e+06	-400.0	4444.0
213437	6.75791e+06	-400.0	4444.0
213444	6.75793e+06	-400.0	4444.0
213452	6.75796e+06	-400.0	4444.0
213460	6.75798e+06	-400.0	4444.0
213467	6.758e+06	-400.0	4444.0
213475	6.75803e+06	-400.0	4444.0
213483	6.75805e+06	-400.0	4444.0
213491	6.75808e+06	-400.0	4444.0
213498	6.7581e+06	-400.0	4444.0
213506	6.75812e+06	-400.0	4444.0
213514	6.75815e+06	-400.0	4444.0
213521	6.75817e+06	-400.0	4444.0
213529	6.75819e+06	-400.0	4444.0
213537	6.75822e+06	-400.0	4444.0
213545	6.75824e+06	-400.0	4444.0
213552	6.75827e+06	-400.0	4444.0
213560	6.75829e+06	-400.0	4444.0
213568	6.75831e+06	-400.0	4444.0
213575	6.75834e+06	-400.0	4444.0
213583	6.75836e+06	-400.0	4444.0
213591	6.75838e+06	-400.0	4444.0
213599	6.75841e+06	-400.0	4444.0
213606	6.75843e+06	-400.0	4444.0
213614	6.75846e+06	-400.0	4444.0
213622	6.75848e+06	-400.0	4444.0
213629	6.7585e+06	-400.0	4444.0
213637	6.75853e+06	-400.0	4444.0
213645	6.75855e+06	-400.0	4444.0
213653	6.75857e+06	-400.0	4444.0
213660	6.7586e+06	-400.0	4444.0
213668	6.75862e+06	-400.0	4444.0
213676	6.75865e+06	-400.0	4444.0
213683	6.75867e+06	-400.0	4444.0
213691	6.75869e+06	-400.0	4444.0
213699	6.75872e+06	-400.0	4444.0
213707	6.75874e+06	-400.0	4444.0
213714	6.75876e+06	-400.0	4444.0
213722	6.75879e+06	-400.0	4444.0
213730	6.75881e+06	-400.0	4444.0
213738	6.75884e+06	-400.0	4444.0
213745	6.75886e+06	-400.0	4444.0
213753	6.75888e+06	-400.0	4444.0
213761	6.75891e+06	-400.0	4444.0
213768	6.75893e+06	-400.0	4444.0
213776	6.75895e+06	-400.0	4444.0
213784	6.75898e+06	-400.0	4444.0
213792	6.759e+06	-400.0	4444.0
213799	6.75903e+06	-400.0	4444.0
213807	6.75905e+06	-400.0	4444.0
213815	6.75907e+06	-400.0	4444.0
213822	6.7591e+06	-400.0	4444.0
213830	6.75912e+06	-400.0	4444.0
213838	6.75914e+06	-400.0	4444.0
213846	6.75917e+06	-400.0	4444.0
213853	6.75919e+06	-400.0	4444.0
213861	6.75922e+06	-400.0	4444.0
213869	6.75924e+06	-400.0	4444.0
213876	6.75926e+06	-400.0	4444.0
213884	6.75929e+06	-400.0	4444.0
213892	6.75931e+06	-400.0	4444.0
213900	6.75933e+06	-400.0	4444.0
213907	6.75936e+06	-400.0	4444.0
213915	6.75938e+06	-400.0	4444.0
213923	6.75941e+06	-400.0	4444.0
213930	6.75943e+06	-400.0	4444.0
213938	6.75945e+06	-400.0	4444.0
213946	6.75948e+06	-400.0	4444.0
213954	6.7595e+06	-400.0	4444.0
213961	6.75952e+06	-400.0	4444.0
213969	6.75955e+06	-400.0	4444.0
213977	6.75957e+06	-400.0	4444.0
213984	6.7596e+06	-400.0	4444.0
213992	6.75962e+06	-400.0	4444.0
214000	6.75964e+06	-400.0	4444.0
214008	6.75967e+06	-400.0	4444.0
214015	6.75969e+06	-400.0	4444.0
214023	6.75971e+06	-400.0	4444.0
214031	6.75974e+06	-400.0	4444.0
214038	6.75976e+06	-400.0	4444.0
214046	6.75979e+06	-400.0	4444.0
214054	6.75981e+06	-400.0	4444.0
214062	6.75983e+06	-400.0	4444.0
214069	6.75986e+06	-400.0	4444.0
214077	6.75988e+06	-400.0	4444.0
214085	6.7599e+06	-400.0	4444.0
214093	6.75993e+06	-400.0	4444.0
214100	6.75995e+06	-400.0	4444.0
214108	6.75998e+06	-400.0	4444.0
214116	6.76e+06	-400.0	4444.0
214123	6.76002e+06	-400.0	4444.0
214131	6.76005e+06	-400.0	4444.0
214139	6.76007e+06	-400.0	4444.0
214147	6.7601e+06	-400.0	7777.0
214154	6.76012e+06	-400.0	7777.0
214162	6.76014e+06	-400.0	7777.0
214170	6.76017e+06	-400.0	7777.0
214177	6.76019e+06	-400.0	7777.0
214185	6.76021e+06	-400.0	7777.0
214193	6.76024e+06	-400.0	7777.0
214201	6.76026e+06	-400.0	7777.0
214208	6.76028e+06	-400.0	7777.0
214216	6.76031e+06	-400.0	5555.0
214224	6.76033e+06	-400.0	5555.0
214231	6.76036e+06	-400.0	6666.0
214239	6.76038e+06	-400.0	6666.0
214247	6.7604e+06	-400.0	6666.0
214255	6.76043e+06	-400.0	6666.0
214262	6.76045e+06	-400.0	6666.0
214270	6.76048e+06	-400.0	6666.0
214278	6.7605e+06	-400.0	6666.0
214285	6.76052e+06	-400.0	6666.0
214293	6.76055e+06	-400.0	6666.0
214301	6.76057e+06	-400.0	6666.0
214309	6.76059e+06	-400.0	6666.0
214316	6.76062e+06	-400.0	6666.0
214324	6.76064e+06	-400.0	6666.0
214332	6.76067e+06	-400.0	6666.0
214339	6.76069e+06	-400.0	6666.0
214347	6.76071e+06	-400.0	6666.0
214355	6.76074e+06	-400.0	6666.0
214363	6.76076e+06	-400.0	6666.0
214370	6.76078e+06	-400.0	6666.0
214378	6.76081e+06	-400.0	6666.0
214386	6.76083e+06	-400.0	6666.0
214393	6.76086e+06	-400.0	6666.0
214401	6.76088e+06	-400.0	6666.0
214409	6.7609e+06	-400.0	6666.0
214417	6.76093e+06	-400.0	6666.0
214424	6.76095e+06	-400.0	6666.0
214432	6.76097e+06	-400.0	6666.0
214440	6.761e+06	-400.0	6666.0
214447	6.76102e+06	-400.0	6666.0
214455	6.76105e+06	-400.0	6666.0
214463	6.76107e+06	-400.0	6666.0
214471	6.76109e+06	-400.0	6666.0
214478	6.76112e+06	-400.0	6666.0
214486	6.76114e+06	-400.0	6666.0
214494	6.76116e+06	-400.0	6666.0
214502	6.76119e+06	-400.0	6666.0
214509	6.76121e+06	-400.0	6666.0
214517	6.76124e+06	-400.0	6666.0
214525	6.76126e+06	-400.0	6666.0
214532	6.76128e+06	-400.0	6666.0
214540	6.76131e+06	-400.0	6666.0
214548	6.76133e+06	-400.0	6666.0
214556	6.76135e+06	-400.0	6666.0
