date,Qsim,Ssim,gain,perc,pr,s,r,n
1994-04-17,0.990365861359628,,,0.292190152761166,0.292190152761166,144.58148173834843,41.481741827837176,0.0
1994-04-18,0.9473804514394828,,,0.27272851575999263,0.27272851575999263,142.59427037928702,41.08227306720509,0.0
1994-04-19,0.9072025544464659,,,0.2553920267765818,0.2553920267765818,140.72658022153067,40.69886024603493,0.0
1994-04-20,0.8696729835748753,,,0.23993943297898712,0.23993943297898712,138.97470626805162,40.330279524783926,0.0
1994-04-21,0.8347271360883877,,,0.2254468782384999,0.2254468782384999,137.2480002853941,39.97593557019279,0.0
1994-04-22,0.8021402985197714,,,0.21117571305725277,0.21117571305725277,135.45896842090664,39.634831576715406,0.0
1994-04-23,0.771600986134932,,,0.19718685979288367,0.19718685979288367,133.60923411493323,39.305551516551525,0.0
1994-04-24,0.7428419749850883,,,0.18294461782935814,0.18294461782935814,131.6152233730123,38.986767743572784,0.0
1994-04-25,0.715626306138532,,,0.17818875974661993,0.17818875974661993,130.92179658658938,38.67703090375582,0.0
1994-04-26,0.690440946752181,,,0.16747836736944277,0.16747836736944277,129.3044051879309,38.3805732958127,0.0
1994-04-27,0.666968891673165,,,0.1569013575237043,0.1569013575237043,127.62407192837337,38.09447169350653,0.0
1994-04-28,0.644618126964419,,,0.14699169155363528,0.14699169155363528,125.96567598965478,37.81649615886554,0.0
1994-04-29,0.6233251485997191,,,0.13725049794564523,0.2723322637244099,124.24614102547356,37.546121551936395,0.0
1994-04-30,0.612252399717727,,,0.13795553307068875,0.13795553307068875,124.37380876174913,37.36069013603844,0.0
1994-05-01,0.5973919995286426,,,0.13009956824077382,0.13009956824077382,122.92075855693135,37.13235943918271,0.0
1994-05-02,0.5759130812001767,,,0.12187325059427989,0.12187325059427989,121.32212989456666,36.88450452020885,0.0
1994-05-03,0.5566272634493195,,,0.11301596439743561,0.6163968551995238,119.50154386085973,36.64273974514167,0.0
1994-05-04,0.5726181502041481,,,0.11773499856165613,13.13707538573568,120.4851470056602,36.69655721406734,0.0
1994-05-05,1.618507075532422,,,0.26476144036881305,0.26476144036881305,141.74807161992453,44.07327581155407,0.0
1994-05-06,2.0947766985862737,,,0.25107404646748915,1.9078114478599908,140.24574135631653,45.976164605809345,0.0
1994-05-07,1.811778020819284,,,0.2684086505955859,0.2684086505955859,142.13792990845656,46.06079297920909,0.0
1994-05-08,1.5691123267187261,,,0.2521429086258975,1.2505853407857137,140.36537671632723,45.51581559189107,0.0
1994-05-09,1.5044911834821222,,,0.2616749169066655,0.2616749169066655,141.4147913755415,45.275013841710326,0.0
1994-05-10,1.4157467225575286,,,0.24660331653426215,0.24660331653426215,139.7409023027895,44.68571765546533,0.0
1994-05-11,1.2913704575243816,,,0.22951150373441334,0.22951150373441334,137.74099500615137,43.95499813705897,0.0
1994-05-12,1.191044040489619,,,0.21023942364935613,0.21023942364935613,135.33826305481102,43.28631599651538,0.0
1994-05-13,1.11459967265473,,,0.18888514483237973,0.18888514483237973,132.46147449647037,42.667587493733805,0.0
1994-05-14,1.0468638999208788,,,0.16854165137620308,0.16854165137620308,129.46860110635546,42.08902519090493,0.0
1994-05-15,0.9857221312639295,,,0.14933458079821346,0.14933458079821346,126.36563126286651,41.54434157722765,0.0
1994-05-16,0.9302707472594648,,,0.1331193532836595,0.1331193532836595,123.48737614591633,41.029082187859736,0.0
1994-05-17,0.8798946521878899,,,0.12553876046982018,0.12553876046982018,122.04476418428902,40.54072694533473,0.0
1994-05-18,0.8345802338020842,,,0.11759793574719637,0.11759793574719637,120.45702617345701,40.08096563303944,0.0
1994-05-19,0.7938043552852825,,,0.10685860264040555,0.10685860264040555,118.16760841478285,39.647638714001836,0.0
1994-05-20,0.7564733730434556,,,0.09575604748700267,0.09575604748700267,115.59878690063664,39.23585391727206,0.0
1994-05-21,0.7218760470746735,,,0.09122175997227605,0.09122175997227605,114.48085682835361,38.842220754038124,0.0
1994-05-22,0.6901709116124087,,,0.08196764740966678,0.6091629085152265,112.05402825199124,38.46824765657111,0.0
1994-05-23,0.6985654816964194,,,0.08679149147665574,1.1195054606383663,113.34486534347603,38.4146888454048,0.0
1994-05-24,0.761724285711368,,,0.09669656662418145,0.09669656662418145,115.82535988283767,38.76182170036882,0.0
1994-05-25,0.7520813807306326,,,0.08810933581072514,0.08810933581072514,113.68752824708248,38.59944132570049,0.0
1994-05-26,0.6879864581492307,,,0.07888598684084781,0.07888598684084781,111.19727714654317,38.23846813010207,0.0
1994-05-27,0.6444887405623545,,,0.06841130252164698,0.06841130252164698,108.06950120067263,37.89150736584932,0.0
1994-05-28,0.6174453112610752,,,0.06358641324706422,0.06358641324706422,106.4982873500479,37.55614598487191,0.0
1994-05-29,0.5930396518964365,,,0.05909211733865469,0.05909211733865469,104.94657742746257,37.234065977042334,0.0
1994-05-30,0.5705130476200626,,,0.05243231894469445,0.05243231894469445,102.46393308231616,36.925249412639026,0.0
1994-05-31,0.5494204614001292,,,0.04699516661896388,0.04699516661896388,100.24264679654019,36.62726843747705,0.0
1994-06-01,0.5295368954729572,,,0.045398656918838674,0.045398656918838674,99.5514774706474,36.33935207192715,0.0
1994-06-02,0.5110612047739518,,,0.042766673837975236,0.042766673837975236,98.36839415146594,36.06301386827224,0.0
1994-06-03,0.49390767477747144,,,0.039419652534420736,0.039419652534420736,96.77676128698364,35.79746157444657,0.0
1994-06-04,0.47776735850062496,,,0.03439698105946076,0.03439698105946076,94.17235918306615,35.541211716647055,0.0
1994-06-05,0.4623900668530072,,,0.030769194503756266,0.030769194503756266,92.09495544390411,35.29240438414657,0.0
1994-06-06,0.4477671400470338,,,0.026610764361578557,0.026610764361578557,89.45737036004179,35.05088006812365,0.0
1994-06-07,0.4338902151783059,,,0.024131585709279278,0.024131585709279278,87.72370538297751,34.81601810223698,0.0
1994-06-08,0.42076872149010397,,,0.02115190801743648,0.02115190801743648,85.44048922475027,34.588145609805366,0.0
