X Y Z facies
163004.625000 2321890.750000 -50.000000 4444.000000
163012.156250 2321914.500000 -50.000000 4444.000000
163019.687500 2321938.500000 -50.000000 4444.000000
163027.218750 2321962.250000 -50.000000 4444.000000
163034.750000 2321986.000000 -50.000000 4444.000000
163042.281250 2322010.000000 -50.000000 4444.000000
163049.812500 2322033.750000 -50.000000 4444.000000
163057.343750 2322057.500000 -50.000000 4444.000000
163064.875000 2322081.500000 -50.000000 4444.000000
163072.406250 2322105.250000 -50.000000 4444.000000
163079.937500 2322129.000000 -50.000000 4444.000000
163087.468750 2322153.000000 -50.000000 7777.000000
163095.000000 2322176.750000 -50.000000 7777.000000
163102.531250 2322200.500000 -50.000000 7777.000000
163110.062500 2322224.500000 -50.000000 7777.000000
163117.593750 2322248.250000 -50.000000 5555.000000
163125.125000 2322272.250000 -50.000000 5555.000000
163132.656250 2322296.000000 -50.000000 5555.000000
163140.187500 2322319.750000 -50.000000 5555.000000
163147.718750 2322343.750000 -50.000000 5555.000000
163155.250000 2322367.500000 -50.000000 5555.000000
163162.781250 2322391.250000 -50.000000 5555.000000
163170.312500 2322415.250000 -50.000000 5555.000000
163177.843750 2322439.000000 -50.000000 5555.000000
163185.375000 2322462.750000 -50.000000 5555.000000
163192.906250 2322486.750000 -50.000000 5555.000000
163200.437500 2322510.500000 -50.000000 5555.000000
163207.968750 2322534.250000 -50.000000 5555.000000
163215.500000 2322558.250000 -50.000000 5555.000000
163223.031250 2322582.000000 -50.000000 5555.000000
163230.562500 2322605.750000 -50.000000 5555.000000
163238.093750 2322629.750000 -50.000000 5555.000000
163245.625000 2322653.500000 -50.000000 5555.000000
163253.156250 2322677.500000 -50.000000 5555.000000
163260.687500 2322701.250000 -50.000000 5555.000000
163268.218750 2322725.000000 -50.000000 5555.000000
163275.750000 2322749.000000 -50.000000 5555.000000
163283.281250 2322772.750000 -50.000000 5555.000000
163290.812500 2322796.500000 -50.000000 5555.000000
163298.343750 2322820.500000 -50.000000 5555.000000
163305.875000 2322844.250000 -50.000000 5555.000000
163313.406250 2322868.000000 -50.000000 5555.000000
163320.937500 2322892.000000 -50.000000 5555.000000
163328.468750 2322915.750000 -50.000000 5555.000000
163336.000000 2322939.500000 -50.000000 5555.000000
163343.531250 2322963.500000 -50.000000 5555.000000
163351.062500 2322987.250000 -50.000000 5555.000000
163358.593750 2323011.250000 -50.000000 5555.000000
163366.125000 2323035.000000 -50.000000 5555.000000
163373.656250 2323058.750000 -50.000000 5555.000000
163381.187500 2323082.750000 -50.000000 5555.000000
163388.718750 2323106.500000 -50.000000 5555.000000
163396.250000 2323130.250000 -50.000000 5555.000000
163403.781250 2323154.250000 -50.000000 5555.000000
163411.312500 2323178.000000 -50.000000 5555.000000
163418.843750 2323201.750000 -50.000000 5555.000000
163426.375000 2323225.750000 -50.000000 5555.000000
163433.906250 2323249.500000 -50.000000 5555.000000
163441.437500 2323273.250000 -50.000000 5555.000000
163448.968750 2323297.250000 -50.000000 5555.000000
163456.500000 2323321.000000 -50.000000 5555.000000
163464.031250 2323345.000000 -50.000000 6666.000000
163471.562500 2323368.750000 -50.000000 6666.000000
163479.093750 2323392.500000 -50.000000 6666.000000
163486.625000 2323416.500000 -50.000000 6666.000000
