=== TOP 120 CUMULATIVE ===
         81148461 function calls (78184155 primitive calls) in 123.768 seconds

   Ordered by: cumulative time
   List reduced from 6190 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
         81148461 function calls (78184155 primitive calls) in 123.768 seconds

   Ordered by: internal time
   List reduced from 6190 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2232   13.714    0.006   13.714    0.006 {method 'readline' of '_io.BufferedReader' objects}
     4320    7.850    0.002   32.181    0.007 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow_common\solver_mesh.py:112(cell_centroids)
  2326710    7.606    0.000    7.606    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  2172175    7.163    0.000   22.564    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:119(_mean)
  2172180    5.580    0.000    6.132    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:77(_count_reduce_items)
17450189/17366535    4.163    0.000    5.525    0.000 {built-in method builtins.isinstance}
       20    3.027    0.151    3.030    0.152 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\raw.py:595(write)
      729    2.505    0.003    2.510    0.003 {built-in method _io.open}
2710680/771072    2.193    0.000    2.889    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:240(next_item)
  2172000    1.865    0.000   24.424    0.000 {method 'mean' of 'numpy.ndarray' objects}
      267    1.700    0.006    1.700    0.006 {method 'close' of '_io.TextIOWrapper' objects}
      702    1.577    0.002    1.577    0.002 {method '__exit__' of '_io._IOBase' objects}
     3072    1.270    0.000    6.535    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
   798096    1.237    0.000    1.237    0.000 {method 'format' of 'str' objects}
      120    1.144    0.010    1.192    0.010 {built-in method _pickle.dump}
470760/466896    1.050    0.000    4.937    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:690(_access_data)
3779051/3261296    1.015    0.000    1.244    0.000 {built-in method builtins.len}
  4802138    0.987    0.000    0.988    0.000 {built-in method builtins.issubclass}
   852336    0.980    0.000    2.398    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatautil.py:351(to_string)
2566300/2555866    0.930    0.000    2.150    0.000 {built-in method builtins.hasattr}
  1514016    0.891    0.000    1.331    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:514(__getitem__)
    39144    0.874    0.000    0.918    0.000 {built-in method numpy.fromfile}
      196    0.782    0.004    0.825    0.004 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\rasterio\__init__.py:112(open)
   361728    0.756    0.000    4.515    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:291(get_transient_key)
45292/43852    0.682    0.000    5.153    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:389(__init__)
162816/20352    0.629    0.000    0.684    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_internal.py:90(_array_descr)
    74748    0.615    0.000    2.482    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\construction.py:517(sanitize_array)
   393048    0.614    0.000    0.689    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\records.py:254(__getitem__)
   483000    0.587    0.000    0.709    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:623(first_index)
  2207420    0.567    0.000    0.567    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
  2258335    0.520    0.000    0.520    0.000 {built-in method numpy.asanyarray}
    11672    0.518    0.000    0.964    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:1066(iset)
    40688    0.518    0.000    1.102    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
1603222/1601870    0.494    0.000    0.543    0.000 {built-in method builtins.getattr}
318445/292097    0.482    0.000    1.632    0.000 {built-in method numpy.asarray}
    64596    0.482    0.000    0.647    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:6236(__finalize__)
   961764    0.478    0.000    1.150    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
      433    0.463    0.001    0.463    0.001 {built-in method _io.open_code}
   961764    0.451    0.000    0.655    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\dtypes\generic.py:37(_check)
    19084    0.442    0.000    2.432    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:708(_slice_take_blocks_ax0)
   481464    0.440    0.000    0.688    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:226(first_item)
   165196    0.436    0.000    1.064    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:6301(__setattr__)
50000/25000    0.407    0.000    0.532    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\numeric.py:1185(roll)
    59218    0.403    0.000    0.403    0.000 {built-in method numpy.array}
    15144    0.400    0.000    1.569    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatalist.py:937(_get_file_entry_record)
    28920    0.394    0.000    2.591    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:475(__new__)
       72    0.388    0.005    1.071    0.015 C:\codes\HydroModPy-GH\hydromodpy\core\tools\toolbox.py:803(export_tif)
425328/424152    0.365    0.000    1.627    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:2345(_build_full_data)
    87916    0.355    0.000    0.431    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:278(__init__)
108956/108852    0.348    0.000    1.209    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:6284(__getattr__)
    64060    0.346    0.000    0.447    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:649(_simple_new)
      731    0.338    0.000    0.339    0.000 {built-in method nt.unlink}
  1204750    0.331    0.000    0.331    0.000 {method 'append' of 'list' objects}
    17388    0.331    0.000    0.546    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\dtypes\cast.py:1156(maybe_infer_to_datetimelike)
   402312    0.329    0.000    4.264    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatascalar.py:115(get_data)
     2825    0.325    0.000    0.351    0.000 {built-in method nt.stat}
   110524    0.288    0.000    0.288    0.000 {built-in method numpy.empty}
    14764    0.273    0.000    0.566    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexers\utils.py:239(maybe_convert_indices)
   470952    0.265    0.000    0.956    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:2484(_resolve_layer)
       48    0.262    0.005    3.101    0.065 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1134(_build_index)
    44815    0.261    0.000    0.437    0.000 {method 'write' of '_io.TextIOWrapper' objects}
460776/456912    0.258    0.000    5.066    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatastorage.py:683(get_data)
    27560    0.258    0.000    0.382    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:1012(iget)
    43764    0.256    0.000    0.374    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:5323(__contains__)
   481464    0.251    0.000    0.938    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:588(first_item)
    11520    0.246    0.000    2.259    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2348(_align_series)
42216/30696    0.240    0.000    6.715    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1176(__getitem__)
    28080    0.238    0.000    1.112    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatalist.py:753(search_data)
    14400    0.236    0.000    0.367    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:3955(_get_indexer)
    18720    0.225    0.000    0.322    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:2744(inferred_type)
    46652    0.224    0.000    0.501    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:5373(__getitem__)
    11520    0.222    0.000    6.209    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1946(_setitem_with_indexer_split_path)
    23857    0.220    0.000    0.220    0.000 {method 'read' of '_io.BufferedReader' objects}
       62    0.216    0.003    0.216    0.003 {built-in method _imp.create_dynamic}
      433    0.212    0.000    0.339    0.001 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    26280    0.208    0.000    0.217    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\dtypes\cast.py:550(maybe_promote)
143330/2174    0.207    0.000    0.624    0.000 C:\Python312\Lib\copy.py:118(deepcopy)
    37465    0.205    0.000    0.376    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\numeric.py:303(full)
   160712    0.204    0.000    0.262    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:586(_get_axis)
    38084    0.200    0.000    0.582    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:1863(from_array)
   809926    0.199    0.000    0.199    0.000 {built-in method builtins.abs}
    11520    0.198    0.000    0.198    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\blocks.py:1269(set_inplace)
    52044    0.192    0.000    0.239    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\dtypes\common.py:572(condition)
    82672    0.190    0.000    0.897    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\common.py:97(is_bool_indexer)
   122568    0.189    0.000    0.332    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\records.py:488(__getitem__)
   143256    0.189    0.000    0.464    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\dtypes\common.py:1434(_is_dtype_type)
    11520    0.186    0.000    4.211    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2111(_setitem_single_column)
    26156    0.184    0.000    3.945    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:4062(__getitem__)
    14400    0.182    0.000    5.269    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1032(_getitem_lowerdim)
     5832    0.181    0.000    2.762    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:670(_build_repeating_header)
    11520    0.181    0.000   10.157    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:882(__setitem__)
