solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
petsc_partition,PETSc regularized partition,petsc,regularized_partition,30.0,0.0,0.0,0.0,nan,nan,-0.702652422376838
petsc_partition,PETSc regularized partition,petsc,regularized_partition,31.0,0.0,0.0,0.0,nan,nan,-0.7376161393810721
petsc_partition,PETSc regularized partition,petsc,regularized_partition,32.0,0.0,0.0,0.0,nan,nan,-0.770346545725693
petsc_partition,PETSc regularized partition,petsc,regularized_partition,33.0,0.0,0.0,0.0,nan,nan,-0.8005527711785358
petsc_partition,PETSc regularized partition,petsc,regularized_partition,34.0,0.0,0.0,0.0,nan,nan,-0.8281101614137016
petsc_partition,PETSc regularized partition,petsc,regularized_partition,35.0,0.0,0.0,0.0,nan,nan,-0.854070990724539
petsc_partition,PETSc regularized partition,petsc,regularized_partition,36.0,0.0,0.0,0.0,nan,nan,-0.8785966684288633
petsc_partition,PETSc regularized partition,petsc,regularized_partition,37.0,0.0,0.0,0.0,nan,nan,-0.9018262456266797
petsc_partition,PETSc regularized partition,petsc,regularized_partition,38.0,0.0,0.0,0.0,nan,nan,-0.9238804326902201
petsc_partition,PETSc regularized partition,petsc,regularized_partition,39.0,0.0,0.0,0.0,nan,nan,-0.9448115717215453
petsc_partition,PETSc regularized partition,petsc,regularized_partition,40.0,0.0,0.0,0.0,nan,nan,-0.9632448237828992
petsc,PETSc complementarity,petsc,complementarity,0.0,0.0,0.0,0.0,nan,nan,-1.0750000000000002
petsc,PETSc complementarity,petsc,complementarity,1.0,0.0,0.0,0.0,nan,nan,-1.2219897821942447
petsc,PETSc complementarity,petsc,complementarity,2.0,0.0,0.0,0.0,nan,nan,-1.2451089799479962
petsc,PETSc complementarity,petsc,complementarity,3.0,10.000000000000002,1.2265214874918646e-13,0.0,nan,154.34447601166517,-1.22590814637446
petsc,PETSc complementarity,petsc,complementarity,4.0,10.000000000000002,-2.4783791512839956e-13,0.0,nan,158.2125579123257,-1.214528800828472
petsc,PETSc complementarity,petsc,complementarity,5.0,10.000000000000002,-3.975927015377691e-13,0.0,nan,180.61669743299606,-1.2054067699273818
petsc,PETSc complementarity,petsc,complementarity,6.0,0.0,0.0,0.0,nan,nan,-1.2241897671060014
petsc,PETSc complementarity,petsc,complementarity,7.0,0.0,0.0,0.0,nan,nan,-1.2322082867701636
petsc,PETSc complementarity,petsc,complementarity,8.0,20.000000000000004,-3.3842948324558343e-13,0.0,nan,159.39173148296928,-1.183526188943214
petsc,PETSc complementarity,petsc,complementarity,9.0,20.000000000000004,-1.6082003837686225e-13,0.0,nan,185.38509796705884,-1.1331771303688294
petsc,PETSc complementarity,petsc,complementarity,10.0,20.000000000000004,-1.6239924794756486e-13,0.0,nan,161.62455119645293,-1.0677262489318489
petsc,PETSc complementarity,petsc,complementarity,11.0,0.0,0.0,0.0,nan,nan,-1.1430809476165082
petsc,PETSc complementarity,petsc,complementarity,12.0,0.0,0.0,0.0,nan,nan,-1.181584900171452
petsc,PETSc complementarity,petsc,complementarity,13.0,32.0,-2.0107663107384787e-12,0.0,nan,148.077154363865,-0.9864602779296234
petsc,PETSc complementarity,petsc,complementarity,14.0,32.0,-4.70927806813542e-11,0.0,nan,129.38003388628488,-0.7945984648939399
petsc,PETSc complementarity,petsc,complementarity,15.0,32.0,-1.3443440935566574e-09,0.0,nan,107.0460502049984,-0.6029890884256348
petsc,PETSc complementarity,petsc,complementarity,16.0,0.0,0.0,0.0,nan,nan,-0.7093819822341283
petsc,PETSc complementarity,petsc,complementarity,17.0,0.0,0.0,0.0,nan,nan,-0.7927667663569604
petsc,PETSc complementarity,petsc,complementarity,18.0,42.0,-1.0540582961421748e-08,0.0,nan,80.56670617466499,-0.47142468199340115
petsc,PETSc complementarity,petsc,complementarity,19.0,42.0,-2.156074991876683e-06,0.0,nan,50.03193376512048,-0.16399944992986182
petsc,PETSc complementarity,petsc,complementarity,20.0,42.0,26.065229198988625,50.0,345.0,327.32643110988624,8.881784197001252e-16
petsc,PETSc complementarity,petsc,complementarity,21.0,0.0,-6.291376188435886e-06,0.0,nan,nan,-0.064284202034945
petsc,PETSc complementarity,petsc,complementarity,22.0,0.0,0.0,0.0,nan,nan,-0.14126318861477838
petsc,PETSc complementarity,petsc,complementarity,23.0,0.0,0.0,0.0,nan,nan,-0.21761151621633168
petsc,PETSc complementarity,petsc,complementarity,24.0,0.0,0.0,0.0,nan,nan,-0.28933001542152414
petsc,PETSc complementarity,petsc,complementarity,25.0,0.0,0.0,0.0,nan,nan,-0.3554108956224242
petsc,PETSc complementarity,petsc,complementarity,26.0,0.0,0.0,0.0,nan,nan,-0.4159517017103145
petsc,PETSc complementarity,petsc,complementarity,27.0,0.0,0.0,0.0,nan,nan,-0.47142125418992986
petsc,PETSc complementarity,petsc,complementarity,28.0,0.0,0.0,0.0,nan,nan,-0.5223734023635576
petsc,PETSc complementarity,petsc,complementarity,29.0,0.0,0.0,0.0,nan,nan,-0.569340137589978
petsc,PETSc complementarity,petsc,complementarity,30.0,0.0,0.0,0.0,nan,nan,-0.612796958328139
petsc,PETSc complementarity,petsc,complementarity,31.0,0.0,0.0,0.0,nan,nan,-0.6531566955233519
petsc,PETSc complementarity,petsc,complementarity,32.0,0.0,0.0,0.0,nan,nan,-0.6907610579018852
petsc,PETSc complementarity,petsc,complementarity,33.0,0.0,0.0,0.0,nan,nan,-0.7259310074640206
petsc,PETSc complementarity,petsc,complementarity,34.0,0.0,0.0,0.0,nan,nan,-0.7589250976517681
petsc,PETSc complementarity,petsc,complementarity,35.0,0.0,0.0,0.0,nan,nan,-0.7899662497389306
petsc,PETSc complementarity,petsc,complementarity,36.0,0.0,0.0,0.0,nan,nan,-0.8182105218971651
petsc,PETSc complementarity,petsc,complementarity,37.0,0.0,0.0,0.0,nan,nan,-0.8444253888949085
petsc,PETSc complementarity,petsc,complementarity,38.0,0.0,0.0,0.0,nan,nan,-0.8692199142653854
petsc,PETSc complementarity,petsc,complementarity,39.0,0.0,0.0,0.0,nan,nan,-0.8927252787260436
petsc,PETSc complementarity,petsc,complementarity,40.0,0.0,0.0,0.0,nan,nan,-0.91505646203347
