solver,solver_label,elapsed_days,recharge_mm_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
modflownwt,MODFLOW-NWT,540.0,0.0,0.007194656538445088,15.539091371465474,15.54628602800392,0.12616666158040335,0.07711403563632757,
modflownwt,MODFLOW-NWT,570.0,0.0,0.004009191005138746,14.423137670382857,14.427146861387996,0.06440607706705759,0.035929235497178524,
modflownwt,MODFLOW-NWT,600.0,0.0,0.0035300249528802397,14.35863358201459,14.36216360696747,0.05691862106323242,0.029480941547177508,
modflownwt,MODFLOW-NWT,630.0,0.0,0.007144039878426156,15.701347833964974,15.7084918738434,0.12950706481933594,0.07443886668170308,
modflownwt,MODFLOW-NWT,660.0,0.0,0.007411913878740961,15.55450129089877,15.561913204777511,0.12871376673380563,0.08073698658961348,
modflownwt,MODFLOW-NWT,690.0,0.0,0.00410772585723862,14.435553050134331,14.43966077599157,0.06586726506551077,0.037289479692503846,
modflownwt,MODFLOW-NWT,720.0,0.0,0.003586535694921622,14.365723100490868,14.36930963618579,0.057689030965168975,0.03022816248972049,
modflow6,MODFLOW 6,30.0,0.6,0.010084070234577136,15.864371226891604,15.87445529712618,0.161066162405902,0.1274529756415177,
modflow6,MODFLOW 6,60.0,1.8,0.009176864051380584,15.648384700694642,15.657561564746022,0.14763449215599778,0.11281635813134017,
modflow6,MODFLOW 6,90.0,3.0,0.00487339583885546,14.509590333310067,14.514463729148922,0.07656572443423926,0.04879297488997736,
modflow6,MODFLOW 6,120.0,4.2,0.0041352722832258505,14.438543690964071,14.442678963247296,0.06625320182290206,0.03767628646200727,
modflow6,MODFLOW 6,150.0,5.4,0.007916681396222428,15.757157985324074,15.765074666720297,0.13876689499440165,0.08723825177909816,
modflow6,MODFLOW 6,180.0,7.2,0.007918244316486214,15.58636058942318,15.594278833739665,0.1345126547079083,0.08946928654722797,
modflow6,MODFLOW 6,210.0,6.0,0.004333289417334954,14.458813902061882,14.463147191479218,0.06910967722933936,0.040583678468664175,
modflow6,MODFLOW 6,240.0,4.8,0.0037531362632098227,14.391123422873026,14.394876559136236,0.06061647412324689,0.03239212454841933,
modflow6,MODFLOW 6,270.0,3.6,0.007451109792747461,15.725076478883832,15.732527588676579,0.13339256457823012,0.07943750792946958,
modflow6,MODFLOW 6,300.0,2.4,0.007626441361273738,15.568675895836101,15.576302337197374,0.13099835350089517,0.08442233206835681,
modflow6,MODFLOW 6,330.0,1.2,0.004193267800208309,14.444222468566073,14.44841573636628,0.06704810009163165,0.03853033071195,
modflow6,MODFLOW 6,360.0,0.6,0.003659655665261485,14.377239073253529,14.38089872891879,0.05898070176466774,0.031172382963973178,
modflow6,MODFLOW 6,390.0,0.0,0.007327403765362915,15.715865472990536,15.723192876755899,0.1318393455824145,0.07741860540733114,
modflow6,MODFLOW 6,420.0,0.0,0.007544455546487582,15.563461563329508,15.571006018875995,0.130141329155415,0.08300871503763574,
modflow6,MODFLOW 6,450.0,0.0,0.004155652667730478,14.440306300638051,14.444461953305781,0.06649441695187353,0.037978681177008866,
modflow6,MODFLOW 6,480.0,0.0,0.003634932436119941,14.373542411919416,14.377177344355536,0.05854286743861348,0.030851246549445932,
modflow6,MODFLOW 6,510.0,0.0,0.0072942950087910175,15.713385907662063,15.720680202670854,0.13142437515171945,0.07687826810922616,
modflow6,MODFLOW 6,540.0,0.0,0.007522508197187871,15.56205653558533,15.569579043782518,0.12991119330686107,0.08263051797285925,
modflow6,MODFLOW 6,570.0,0.0,0.004145590180059122,14.43925878916437,14.443404379344429,0.06636851419047929,0.037831106021668504,
modflow6,MODFLOW 6,600.0,0.0,0.003628310956472672,14.37255187547507,14.376180186431542,0.05842559211408993,0.03076524252207946,
modflow6,MODFLOW 6,630.0,0.0,0.007285434637421772,15.71272231054072,15.720007745178142,0.13131333061867512,0.07673366609779464,
modflow6,MODFLOW 6,660.0,0.0,0.007516629283341129,15.561680517537773,15.569197146821114,0.12984957458900137,0.08252921831797266,
modflow6,MODFLOW 6,690.0,0.0,0.004142894709285748,14.438978195247394,14.44312108995668,0.0663351983496776,0.0377915750667146,
modflow6,MODFLOW 6,720.0,0.0,0.003626536261203004,14.372286361672856,14.37591289793406,0.05839415907475587,0.030742189619559213,
