solver,solver_label,elapsed_days,recharge_mm_day,recharge_flux_m3_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
modflow6_irregular_tri,MODFLOW 6 irregular triangles,330.0,1.2,1.44,0.0,1.5388454564938507,1.5388454564938507,-0.09884545649385079,-0.2015288457170028,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,345.0,0.6,0.72,0.0,0.9768424540869465,0.9768424540869465,-0.2568424540869465,-0.202140624658651,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,360.0,0.6,0.72,0.0,0.7964496673503528,0.7964496673503528,-0.07644966735035286,-0.20233333873720838,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,375.0,0.0,0.0,0.0,0.281657936702313,0.281657936702313,-0.281657936702313,-0.2028947442579616,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,390.0,0.0,0.0,0.0,0.12226730172391424,0.12226730172391424,-0.12226730172391424,-0.20306508642167387,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,405.0,0.0,0.0,0.0,0.054531988815722514,0.054531988815722514,-0.054531988815722514,-0.20313743814435536,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,420.0,0.0,0.0,0.0,0.027936896614763892,0.027936896614763892,-0.027936896614763892,-0.2031657959483697,0.0,
boussinesq,Boussinesq,15.0,0.6,0.72,0.00588746547049027,26.52601935356067,53.783507894374935,-53.063507894374936,-0.07252609899041929,,27.251601075343775
boussinesq,Boussinesq,30.0,0.6,0.72,0.00588746547049027,26.52601935356067,53.783507894374935,-53.063507894374936,-0.07252609899041929,,27.251601075343775
boussinesq,Boussinesq,45.0,1.8,2.16,3.5937176606068994e-05,26.684790252965467,54.9669671527475,-52.806967152747504,-0.07189126409924906,,28.28214096260543
boussinesq,Boussinesq,60.0,1.8,2.16,2.217928548020609e-07,26.685749997931428,55.270952289576975,-53.11095228957697,-0.07154348352843787,,28.58520206985269
boussinesq,Boussinesq,75.0,3.0,3.6,1.4079694210522574e-09,26.685755860550312,56.3232393905392,-52.7232393905392,-0.07035015647379605,,29.63748352858092
boussinesq,Boussinesq,90.0,3.0,3.6,5.8628302213037395e-12,26.685755897397673,56.67512743359987,-53.07512743359987,-0.06994155598758045,,29.98937153619633
boussinesq,Boussinesq,105.0,4.2,5.040000000000001,2.3021584638627248e-14,26.68575589777114,57.750950462160695,-52.710950462160696,-0.0687215324275412,,31.065194564389532
boussinesq,Boussinesq,120.0,4.2,5.040000000000001,0.0,26.685755897563887,58.1117589011686,-53.0717589011686,-0.06830253366574279,,31.42600300360471
boussinesq,Boussinesq,135.0,5.4,6.48,7.673861546209083e-15,26.68575589755658,59.19379756364562,-52.71379756364561,-0.06707584676615941,,32.50804166608903
boussinesq,Boussinesq,150.0,5.4,6.48,8.44124770082999e-12,26.68575589735542,59.555371461126825,-53.07537146112682,-0.06665586602302209,,32.86961556376296
boussinesq,Boussinesq,165.0,7.2,8.64,6.139089236967266e-14,26.685755897555296,61.10186849294125,-52.46186849294125,-0.06490577951678578,,34.41611259538589
boussinesq,Boussinesq,180.0,7.2,8.64,0.0,26.685755897837403,61.607293754676746,-52.967293754676746,-0.06431768512682012,,34.92153785683934
boussinesq,Boussinesq,195.0,6.0,7.2,2.394244802417234e-12,26.685755897499654,60.899490196998805,-53.6994901969988,-0.06511796016763594,,34.21373429949676
boussinesq,Boussinesq,210.0,6.0,7.2,2.394244802417234e-12,26.685755897499654,60.899490196998805,-53.6994901969988,-0.06511796016763594,,34.21373429949676
boussinesq,Boussinesq,225.0,4.8,5.76,1.5347723092418165e-14,26.685755898538016,59.787360262680494,-54.027360262680496,-0.06638534946825292,,33.10160436414247
boussinesq,Boussinesq,240.0,4.8,5.76,5.8114153489441386e-11,26.685755895870685,59.426510427222134,-53.666510427222136,-0.06679804892304464,,32.740754531293334
boussinesq,Boussinesq,255.0,3.6,4.32,4.865228220296558e-11,26.685755896223746,58.34342245845522,-54.02342245845522,-0.0680324231544942,,31.657666562182822
boussinesq,Boussinesq,270.0,3.6,4.32,1.44498812915117e-11,26.685755897206956,57.98757650040852,-53.66757650040852,-0.06843949480316436,,31.301820603187114
boussinesq,Boussinesq,285.0,2.4,2.88,2.4341488824575206e-11,26.68575589697573,56.9082271812955,-54.0282271812955,-0.06966989646700306,,30.222471284295427
boussinesq,Boussinesq,300.0,2.4,2.88,1.6882495401659982e-13,26.685755897552735,56.552159145408446,-53.67215914540844,-0.07007732015397483,,29.86640324785554
boussinesq,Boussinesq,315.0,1.2,1.44,0.0,26.685755897556756,55.47478179408472,-54.03478179408472,-0.0713057687271288,,28.789025896527967
boussinesq,Boussinesq,330.0,1.2,1.44,0.0,26.685755897556756,55.11770999468125,-53.67770999468125,-0.07171443887375961,,28.43195409712449
boussinesq,Boussinesq,345.0,0.6,0.72,5.241247436060803e-12,26.685755898689933,54.499191658425445,-53.77919165842545,-0.07242013255999513,,27.813435759730268
boussinesq,Boussinesq,360.0,0.6,0.72,7.092182841006434e-11,26.68575589549929,54.28165832872622,-53.561658328726224,-0.0726691318392616,,27.595902433156006
boussinesq,Boussinesq,375.0,0.0,0.0,8.932374839787372e-12,26.685755897297604,53.725861896338984,-53.725861896338984,-0.07330313782667286,,27.040105999032452
boussinesq,Boussinesq,390.0,0.0,0.0,8.932374839787372e-12,26.685755897297604,53.725861896338984,-53.725861896338984,-0.07330313782667286,,27.040105999032452
boussinesq,Boussinesq,405.0,0.0,0.0,8.932374839787372e-12,26.685755897297604,53.725861896338984,-53.725861896338984,-0.07330313782667286,,27.040105999032452
boussinesq,Boussinesq,420.0,0.0,0.0,8.932374839787372e-12,26.685755897297604,53.725861896338984,-53.725861896338984,-0.07330313782667286,,27.040105999032452
