comparison_id,observable,variable,support,unit,variant_id,variant_label,comparison_time_key,time,time_index,elapsed_seconds,value_index,value
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:9,9,9,,0,113.84722900390625
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:10,10,10,,0,113.88154602050781
ex12_mf6_nwt_moderate,head_mid_basin_response,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:11,11,11,,0,117.38877868652344
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:0,0,0,,0,109.48026275634766
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:1,1,1,,0,110.2066650390625
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:2,2,2,,0,111.19087982177734
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:3,3,3,,0,110.68174743652344
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:4,4,4,,0,109.86071014404297
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:5,5,5,,0,108.76371765136719
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:6,6,6,,0,107.55073547363281
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:7,7,7,,0,106.97003936767578
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:8,8,8,,0,106.97394561767578
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:9,9,9,,0,107.7573013305664
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:10,10,10,,0,107.79143524169922
ex12_mf6_nwt_moderate,head_upstream_ridge,watertable_elevation,point,m,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:11,11,11,,0,109.6661605834961
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:0,0,0,,0,0.0001339606136483511
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:1,1,1,,0,0.0002366053979332921
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:2,2,2,,0,0.00022099297060731825
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:3,3,3,,0,0.00015502532634271144
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:4,4,4,,0,0.00012442629200831793
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:5,5,5,,0,7.958881357168409e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:6,6,6,,0,4.509927281487538e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:7,7,7,,0,3.411645184314693e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:8,8,8,,0,3.416674454220575e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:9,9,9,,0,4.58507371250663e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:10,10,10,,0,4.6480960323314334e-05
ex12_mf6_nwt_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,nwt_mod_s60,NWT annual moderate on 60x60 structured grid,time_index:11,11,11,,0,0.0001600140594858619
