;REA_historic
1993-05-31;8.102692
1993-06-30;8.69165
1993-07-31;4.5655518
1993-08-31;2.283754
1993-09-30;3.462025
1993-10-31;15.753573
1993-11-30;12.306915
1993-12-31;41.866474
1994-01-31;98.54861
1994-02-28;66.44917
1994-03-31;36.553513
1994-04-30;34.507233
1994-05-31;24.487823
1994-06-30;18.947296
1994-07-31;3.7159119
1994-08-31;2.8952456
1994-09-30;2.9461453
1994-10-31;6.597481
1994-11-30;23.823368
1994-12-31;63.587185
1995-01-31;133.84937
1995-02-28;111.507904
1995-03-31;66.84149
1995-04-30;16.635712
1995-05-31;8.386475
1995-06-30;4.102234
1995-07-31;2.5930786
1995-08-31;2.4056518
1995-09-30;4.944623
1995-10-31;7.1437125
1995-11-30;8.388467
1995-12-31;25.005064
1996-01-31;45.322292
1996-02-29;47.249718
1996-03-31;25.205994
1996-04-30;11.96196
1996-05-31;13.986359
1996-06-30;10.167328
1996-07-31;2.5589294
1996-08-31;1.2005006
1996-09-30;1.015537
1996-10-31;1.4890959
1996-11-30;6.8302474
1996-12-31;22.578457
1997-01-31;23.182343
1997-02-28;35.605534
1997-03-31;28.093842
1997-04-30;6.9397583
1997-05-31;3.4746246
1997-06-30;4.214386
1997-07-31;4.8310394
1997-08-31;2.72616
1997-09-30;1.9269998
1997-10-31;5.01193
1997-11-30;23.175777
1997-12-31;68.15283
1998-01-31;100.72482
1998-02-28;23.00879
1998-03-31;17.216415
1998-04-30;37.27632
1998-05-31;21.41919
1998-06-30;8.360107
1998-07-31;4.916992
1998-08-31;2.6806266
1998-09-30;5.4477015
1998-10-31;20.179844
1998-11-30;61.890694
1998-12-31;81.730095
1999-01-31;123.17615
1999-02-28;44.796844
1999-03-31;40.679443
1999-04-30;29.07013
1999-05-31;20.033813
1999-06-30;6.793274
1999-07-31;2.9980469
1999-08-31;3.9022326
1999-09-30;5.09498
1999-10-31;14.427304
1999-11-30;25.587982
1999-12-31;88.20355
2000-01-31;66.43793
2000-02-29;34.50673
2000-03-31;25.89238
2000-04-30;44.945587
2000-05-31;28.634674
2000-06-30;22.064392
2000-07-31;8.385864
2000-08-31;4.6302814
2000-09-30;3.6306958
2000-10-31;15.264602
2000-11-30;90.19305
2000-12-31;109.02953
2001-01-31;132.47171
2001-02-28;82.69888
2001-03-31;93.778076
2001-04-30;52.29883
2001-05-31;22.18805
2001-06-30;4.9851074
2001-07-31;2.1844482
2001-08-31;1.311397
2001-09-30;0.90358555
2001-10-31;3.3098702
2001-11-30;3.2922125
2001-12-31;7.940259
2002-01-31;22.9273
2002-02-28;48.40055
2002-03-31;41.47049
2002-04-30;14.545242
2002-05-31;6.418228
2002-06-30;11.339722
2002-07-31;6.2375336
2002-08-31;3.5123906
2002-09-30;2.1179574
2002-10-31;3.5118017
2002-11-30;50.97699
2002-12-31;86.23813
2003-01-31;86.917496
2003-02-28;42.979904
2003-03-31;29.631714
2003-04-30;7.7138977
2003-05-31;4.8377075
2003-06-30;3.5845642
2003-07-31;1.9580688
2003-08-31;1.1294261
2003-09-30;0.67369246
2003-10-31;1.4608092
2003-11-30;10.473194
2003-12-31;30.41988
2004-01-31;102.1746
2004-02-29;43.686096
2004-03-31;28.756409
2004-04-30;15.080185
2004-05-31;15.744873
2004-06-30;4.2227783
2004-07-31;7.71109
2004-08-31;5.57186
2004-09-30;4.413217
2004-10-31;11.939486
2004-11-30;18.467087
2004-12-31;14.012699
2005-01-31;28.546001
2005-02-28;20.096275
2005-03-31;20.601349
2005-04-30;9.372528
2005-05-31;10.092209
2005-06-30;4.540695
2005-07-31;3.5437775
2005-08-31;2.250436
2005-09-30;1.5853412
2005-10-31;2.817467
2005-11-30;14.826736
2005-12-31;47.183834
2006-01-31;40.60457
2006-02-28;42.697258
2006-03-31;77.03165
2006-04-30;35.84659
2006-05-31;10.091736
2006-06-30;4.7337036
2006-07-31;1.9345093
2006-08-31;1.0684711
2006-09-30;0.76285744
2006-10-31;4.586486
2006-11-30;20.939285
2006-12-31;93.42354
2007-01-31;78.19087
2007-02-28;62.945877
2007-03-31;59.318207
2007-04-30;13.388031
2007-05-31;9.000488
2007-06-30;12.224213
2007-07-31;25.54245
2007-08-31;11.726218
2007-09-30;4.770953
2007-10-31;2.7752419
2007-11-30;3.0082073
2007-12-31;10.690172
2008-01-31;40.829784
2008-02-29;40.37278
2008-03-31;31.731194
2008-04-30;18.882874
2008-05-31;18.071304
2008-06-30;21.17453
2008-07-31;4.5921173
2008-08-31;4.8086524
2008-09-30;10.642626
2008-10-31;8.0733595
2008-11-30;34.781868
2008-12-31;68.84776
2009-01-31;65.9323
2009-02-28;66.90207
2009-03-31;26.611298
2009-04-30;11.7552185
2009-05-31;11.562714
2009-06-30;5.353058
2009-07-31;3.223114
2009-08-31;3.0595517
2009-09-30;1.9513772
2009-10-31;3.607913
2009-11-30;34.65979
2009-12-31;101.92732
2010-01-31;70.848145
2010-02-28;54.977615
2010-03-31;54.780487
2010-04-30;22.103394
2010-05-31;5.792694
2010-06-30;3.7132263
2010-07-31;2.352478
2010-08-31;2.5726
2010-09-30;3.0049188
2010-10-31;14.285572
2010-11-30;58.6626
2010-12-31;106.787575
2011-01-31;45.852097
2011-02-28;38.68715
2011-03-31;23.087402
2011-04-30;6.483612
2011-05-31;2.7782593
2011-06-30;1.7699585
2011-07-31;1.3451233
2011-08-31;1.2187046
2011-09-30;1.2157453
2011-10-31;3.0423067
2011-11-30;6.3772507
2011-12-31;58.78212
2012-01-31;46.555084
2012-02-29;26.797218
2012-03-31;15.44455
2012-04-30;9.958496
2012-05-31;53.903534
2012-06-30;11.78421
2012-07-31;18.232742
2012-08-31;5.527579
2012-09-30;3.2475004
2012-10-31;15.2084875
2012-11-30;52.829643
2012-12-31;110.54253
2013-01-31;74.33003
2013-02-28;52.006653
2013-03-31;26.15326
2013-04-30;23.46457
2013-05-31;8.930939
2013-06-30;4.4697876
2013-07-31;2.8691711
2013-08-31;1.3690825
2013-09-30;0.8602607
2013-10-31;2.222108
2013-11-30;24.273745
2013-12-31;77.00255
2014-01-31;141.54053
2014-02-28;138.5166
2014-03-31;50.836823
2014-04-30;20.121765
2014-05-31;12.34082
2014-06-30;8.966797
2014-07-31;2.9487
2014-08-31;1.8927068
2014-09-30;1.4749188
2014-10-31;4.0772133
2014-11-30;31.174051
2014-12-31;52.6646
2015-01-31;67.77979
2015-02-28;71.125534
2015-03-31;41.665985
2015-04-30;12.588989
2015-05-31;8.317963
2015-06-30;4.0890503
2015-07-31;2.0169678
2015-08-31;7.207675
2015-09-30;11.170933
2015-10-31;8.559029
2015-11-30;15.815283
2015-12-31;25.578514
2016-01-31;109.271065
2016-02-29;112.14705
2016-03-31;44.291534
2016-04-30;21.57071
2016-05-31;7.681549
2016-06-30;4.0661316
2016-07-31;3.4638672
2016-08-31;1.9499234
2016-09-30;1.8509094
2016-10-31;2.400293
2016-11-30;14.200127
2016-12-31;19.48097
2017-01-31;18.199554
2017-02-28;45.403027
2017-03-31;43.6894
2017-04-30;13.037003
2017-05-31;5.6416626
2017-06-30;4.3890686
2017-07-31;2.9135284
2017-08-31;5.309453
2017-09-30;5.067923
2017-10-31;6.682151
2017-11-30;9.455229
2017-12-31;47.836327
2018-01-31;89.81304
2018-02-28;55.398056
2018-03-31;50.101395
2018-04-30;37.55533
2018-05-31;8.218689
2018-06-30;5.991577
2018-07-31;2.868805
2018-08-31;1.5433924
2018-09-30;1.0803964
2018-10-31;3.2888112
2018-11-30;13.898357
2018-12-31;78.87846
2019-01-31;40.476784
2019-02-28;66.61348
2019-03-31;29.152283
2019-04-30;15.731583
2019-05-31;8.606155
2019-06-30;8.351746
2019-07-31;4.3952637
2019-08-31;4.3760896
2019-09-30;3.5224094
2019-10-31;28.915722
2019-11-30;151.59663
2019-12-31;105.356125
2020-01-31;66.81647
2020-02-29;73.34616
2020-03-31;73.922516
2020-04-30;11.411499
2020-05-31;9.14801
2020-06-30;8.079834
2020-07-31;5.494751
2020-08-31;
2020-09-30;
2020-10-31;
2020-11-30;
2020-12-31;
2021-01-31;
2021-02-28;
2021-03-31;
2021-04-30;
2021-05-31;
2021-06-30;
2021-07-31;
2021-08-31;
2021-09-30;
2021-10-31;
2021-11-30;
2021-12-31;
2022-01-31;
2022-02-28;
2022-03-31;
2022-04-30;
2022-05-31;
2022-06-30;
2022-07-31;
2022-08-31;
2022-09-30;
2022-10-31;
2022-11-30;
2022-12-31;
2023-01-31;
2023-02-28;
2023-03-31;
2023-04-30;
2023-05-31;
2023-06-30;
2023-07-31;
2023-08-31;
2023-09-30;
2023-10-31;
2023-11-30;
2023-12-31;
2024-01-31;
2024-02-29;
2024-03-31;
2024-04-30;
2024-05-31;
2024-06-30;
2024-07-31;
2024-08-31;
2024-09-30;
2024-10-31;
2024-11-30;
2024-12-31;
2025-01-31;
2025-02-28;
2025-03-31;
2025-04-30;
2025-05-31;
2025-06-30;
2025-07-31;
2025-08-31;
2025-09-30;
2025-10-31;
2025-11-30;
2025-12-31;
2026-01-31;
2026-02-28;
2026-03-31;
2026-04-30;
2026-05-31;
2026-06-30;
2026-07-31;
2026-08-31;
2026-09-30;
2026-10-31;
2026-11-30;
2026-12-31;
2027-01-31;
2027-02-28;
2027-03-31;
2027-04-30;
2027-05-31;
2027-06-30;
2027-07-31;
2027-08-31;
2027-09-30;
2027-10-31;
2027-11-30;
2027-12-31;
2028-01-31;
2028-02-29;
2028-03-31;
2028-04-30;
2028-05-31;
2028-06-30;
2028-07-31;
2028-08-31;
2028-09-30;
2028-10-31;
2028-11-30;
2028-12-31;
2029-01-31;
2029-02-28;
2029-03-31;
2029-04-30;
2029-05-31;
2029-06-30;
2029-07-31;
2029-08-31;
2029-09-30;
2029-10-31;
2029-11-30;
2029-12-31;
2030-01-31;
2030-02-28;
2030-03-31;
2030-04-30;
2030-05-31;
2030-06-30;
2030-07-31;
2030-08-31;
2030-09-30;
2030-10-31;
2030-11-30;
2030-12-31;
2031-01-31;
2031-02-28;
2031-03-31;
2031-04-30;
2031-05-31;
2031-06-30;
2031-07-31;
2031-08-31;
2031-09-30;
2031-10-31;
2031-11-30;
2031-12-31;
2032-01-31;
2032-02-29;
2032-03-31;
2032-04-30;
2032-05-31;
2032-06-30;
2032-07-31;
2032-08-31;
2032-09-30;
2032-10-31;
2032-11-30;
2032-12-31;
2033-01-31;
2033-02-28;
2033-03-31;
2033-04-30;
2033-05-31;
2033-06-30;
2033-07-31;
2033-08-31;
2033-09-30;
2033-10-31;
2033-11-30;
2033-12-31;
2034-01-31;
2034-02-28;
2034-03-31;
2034-04-30;
2034-05-31;
2034-06-30;
2034-07-31;
2034-08-31;
