solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,recharge_flux_m3_day,surface_excess_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
petsc_partition,PETSc regularized partition,petsc,regularized_partition,19.0,42.0,504.0,141.66488317007838,-0.0,141.66488317007838,362.3351168299216,141.66488317007838,400.0,395.0,248.0239711268619,-0.6998819206643043
petsc_partition,PETSc regularized partition,petsc,regularized_partition,20.0,42.0,504.0,168.1240427581386,-0.0,168.1240427581386,335.87595724186144,168.1240427581386,400.0,395.0,240.9894533458894,-0.5788072616130746
petsc_partition,PETSc regularized partition,petsc,regularized_partition,21.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.6546188544683416
petsc_partition,PETSc regularized partition,petsc,regularized_partition,22.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.7170578923673405
petsc_partition,PETSc regularized partition,petsc,regularized_partition,23.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.7715125013839792
petsc_partition,PETSc regularized partition,petsc,regularized_partition,24.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.8205839573860736
petsc_partition,PETSc regularized partition,petsc,regularized_partition,25.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.8631583968413583
petsc_partition,PETSc regularized partition,petsc,regularized_partition,26.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.9012687924380183
petsc_partition,PETSc regularized partition,petsc,regularized_partition,27.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.9360043684765849
petsc_partition,PETSc regularized partition,petsc,regularized_partition,28.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.9677233092735662
petsc_partition,PETSc regularized partition,petsc,regularized_partition,29.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.9965166802877707
petsc_partition,PETSc regularized partition,petsc,regularized_partition,30.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.0220533593686056
petsc_partition,PETSc regularized partition,petsc,regularized_partition,31.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.0454544369497194
petsc_partition,PETSc regularized partition,petsc,regularized_partition,32.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.0670243656960743
petsc_partition,PETSc regularized partition,petsc,regularized_partition,33.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.0870118417971923
petsc_partition,PETSc regularized partition,petsc,regularized_partition,34.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.105007769728629
petsc_partition,PETSc regularized partition,petsc,regularized_partition,35.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1206075463450729
petsc_partition,PETSc regularized partition,petsc,regularized_partition,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1351988256810364
petsc_partition,PETSc regularized partition,petsc,regularized_partition,37.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1481748197817323
petsc_partition,PETSc regularized partition,petsc,regularized_partition,38.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.159203593286974
petsc_partition,PETSc regularized partition,petsc,regularized_partition,39.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1693962569108702
petsc_partition,PETSc regularized partition,petsc,regularized_partition,40.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1773228518908425
petsc,PETSc complementarity,petsc,complementarity,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.0750000000000002
petsc,PETSc complementarity,petsc,complementarity,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.221729728751701
petsc,PETSc complementarity,petsc,complementarity,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2450240945918725
petsc,PETSc complementarity,petsc,complementarity,3.0,10.000000000000002,120.00000000000003,-1.10195558167415e-06,-0.0,-1.10195558167415e-06,120.0000011019556,-1.10195558167415e-06,0.0,nan,nan,-1.2258444468132894
petsc,PETSc complementarity,petsc,complementarity,4.0,10.000000000000002,120.00000000000003,-4.6982302427331526e-07,-0.0,-4.6982302427331526e-07,120.00000046982305,-4.6982302427331526e-07,0.0,nan,nan,-1.2145768545630324
petsc,PETSc complementarity,petsc,complementarity,5.0,10.000000000000002,120.00000000000003,-4.643847726469547e-07,-0.0,-4.643847726469547e-07,120.0000004643848,-4.643847726469547e-07,0.0,nan,nan,-1.2056257819178486
petsc,PETSc complementarity,petsc,complementarity,6.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2245330362649383
petsc,PETSc complementarity,petsc,complementarity,7.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2325628050751116
petsc,PETSc complementarity,petsc,complementarity,8.0,20.000000000000004,240.00000000000006,-1.124414262168205e-11,-0.0,-1.124414262168205e-11,240.0000000000113,-1.124414262168205e-11,0.0,nan,102.01238040180347,-1.184023334600682
petsc,PETSc complementarity,petsc,complementarity,9.0,20.000000000000004,240.00000000000006,-2.893688085498766e-12,-0.0,-2.893688085498766e-12,240.00000000000296,-2.893688085498766e-12,0.0,nan,104.48827329072223,-1.1337348388626802
petsc,PETSc complementarity,petsc,complementarity,10.0,20.000000000000004,240.00000000000006,-7.512869600677111e-12,-0.0,-7.512869600677111e-12,240.00000000000756,-7.512869600677111e-12,0.0,nan,105.97251087602967,-1.0657084525855183
petsc,PETSc complementarity,petsc,complementarity,11.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.142623609139367
petsc,PETSc complementarity,petsc,complementarity,12.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1847763197586447
petsc,PETSc complementarity,petsc,complementarity,13.0,32.0,384.0,-2.706100352706191e-09,-0.0,-2.706100352706191e-09,384.0000000027061,-2.706100352706191e-09,0.0,nan,80.46961658124258,-0.9843215410449
petsc,PETSc complementarity,petsc,complementarity,14.0,32.0,384.0,-3.524270596414436e-08,-0.0,-3.524270596414436e-08,384.0000000352427,-3.524270596414436e-08,0.0,nan,57.078500978917596,-0.7848049798284196
petsc,PETSc complementarity,petsc,complementarity,15.0,32.0,384.0,-1.2660406121987107e-06,-0.0,-1.2660406121987107e-06,384.0000012660406,-1.2660406121987107e-06,0.0,nan,39.32801347446168,-0.5829519171318402
petsc,PETSc complementarity,petsc,complementarity,16.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.6810028306260367
petsc,PETSc complementarity,petsc,complementarity,17.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.7657199503640228
petsc,PETSc complementarity,petsc,complementarity,18.0,42.0,504.0,-5.241377215425275e-11,-0.0,-5.241377215425275e-11,504.0000000000524,-5.241377215425275e-11,0.0,nan,83.42550170398808,-0.4369344193064544
petsc,PETSc complementarity,petsc,complementarity,19.0,42.0,504.0,10.64207401614901,-0.0,10.64207401614901,493.357925983851,10.64207401614901,40.0,335.0,322.0836275112469,-0.1634292521721914
petsc,PETSc complementarity,petsc,complementarity,20.0,42.0,504.0,100.25642524298249,-0.0,100.25642524298249,403.74357475701754,100.25642524298249,100.0,355.0,309.46045682102186,-0.11935577447931323
petsc,PETSc complementarity,petsc,complementarity,21.0,0.0,0.0,-9.087249193818931e-08,-0.0,-9.087249193818931e-08,9.087249193818931e-08,-9.087249193818931e-08,0.0,nan,nan,-0.22067290094983694
petsc,PETSc complementarity,petsc,complementarity,22.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.27398829859057905
petsc,PETSc complementarity,petsc,complementarity,23.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.3237430507636949
petsc,PETSc complementarity,petsc,complementarity,24.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.3743981350427976
petsc,PETSc complementarity,petsc,complementarity,25.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.42318252697923064
petsc,PETSc complementarity,petsc,complementarity,26.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.47134137932928155
petsc,PETSc complementarity,petsc,complementarity,27.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.5178660196285119
